Ips avulsus,Whole cycle,0.5260,2.7306,0.5371
Plutella xylostella,whole dev,0.23,5.76,0.78
Cnaphalocrocis medinalis,Total immature,1.0664,11.881,0
Amblyseius womersleyi,Total immature,0.813,3.212,0.267
Lipaphis erysimi,Complete dev time Alatae,0.2625,3.232,0.7581
Lipaphis erysimi,Complete dev time Apterae,0.4997,6.4152,0.5249
Feltiella acarisuga,Total dev,1.039,10.534,0
Neoseiulus californicus,Total immature,0.734,5.007,0.260
Laodelphax striatellus ,Total PD,1.0034,8.1205,0
"Aphis 
Gossypii",Total,0.648,6.541,0.312
