shape,scale,shift,species,stage
  756.7855,    0.0013,    0.0000,Otiorhynchus sulcatu,Egg
  119.1001,    0.0081,    0.0000,Otiorhynchus sulcatu,Larva
  202.8423,    0.0047,    0.0000,Otiorhynchus sulcatu,Pupa
  334.5379,    0.0029,    0.0000,A. urticae,Larva
  172.9206,    0.0055,    0.0000,A. urticae,Pupa
  782.2167,    0.0009,    0.0000,Inachis io,Larva
  297.0803,    0.0032,    0.0000,Inachis io,Pupa
  317.3035,    0.0030,    0.0000,Polygonia c-album,Larva
  210.9579,    0.0045,    0.0000,Polygonia c-album,Pupa
    6.1250,    0.1777,    0.0000,Languria mozardi,Egg
   17.0359,    0.0613,    0.0000,Languria mozardi,Larva
   31.3377,    0.0366,    0.0000,Languria mozardi,Pupa
  211.8185,    0.0048,    0.0000,Campylomma verbasci,Egg
   57.8530,    0.0176,    0.0000,Zonosemata electa,Pupa
   97.2218,    0.0126,    0.0000,Cotesia melanoscela,Pupa
  276.9346,    0.0052,    0.0000,Cotesia melanoscela,Pupa
   40.9426,    0.0247,    0.0000,Typhlocyba pomaria,Egg
  192.8414,    0.0051,    0.0000,Acantholyda erythrocephala ,Egg
   49.2387,    0.0193,    0.0000,Acantholyda erythrocephala ,Larva
   76.7180,    0.0127,    0.0000,Acantholyda erythrocephala ,Larva
  268.1253,    0.0038,    0.0000,Hylobius pales,Egg
   99.8652,    0.0101,    0.0000,Hylobius pales,Larva
   24.6111,    0.0425,    0.0000,Hylobius pales,Prepupa
  105.4624,    0.0095,    0.0000,Hylobius pales,Pupa
   45.4305,    0.0223,    0.0000,Rhagoletis mendax,Pupa
  182.6491,    0.0056,    0.0000,Bemisia tabaci,Egg
   54.6854,    0.0187,    0.0000,Bemisia tabaci,Pupa
   53.9427,    0.0188,    0.0000,Ips calligraphus,Egg
   45.8717,    0.0224,    0.0000,Ips calligraphus,Larva
   16.7961,    0.0607,    0.0000,Ips calligraphus,Pupa
   19.0091,    0.0533,    0.0000,Ips avulsus,Egg
   21.6310,    0.0467,    0.0000,Ips avulsus,Larva
    6.5830,    0.1561,    0.0000,Ips avulsus,Pupa
  107.0764,    0.0094,    0.0000,Toxoptera aurantii,Pupa
  278.8654,    0.0036,    0.0000,Calosoma sycophanta,Pupa
   23.7459,    0.0436,    0.0000,Diabrotica barberi,Egg PD
  199.2891,    0.0050,    0.0000,Myzus persicae ,Nymph
  186.7910,    0.0054,    0.0000,Myzus persicae ,Nymph
  107.3853,    0.0091,    0.0000,Tenebrio molitor,Larva
   70.0414,    0.0136,    0.0000,Cnaphalocrocis medinalis,Egg
   71.0460,    0.0139,    0.0000,Cnaphalocrocis medinalis,Larva
   25.5508,    0.0388,    0.0000,Cnaphalocrocis medinalis,Prepupa
   92.2762,    0.0107,    0.0000,Cnaphalocrocis medinalis,Pupa
   11.3897,    0.0235,    0.0000,Thrips palmi,Egg
   11.3231,    0.0336,    0.0000,Thrips palmi,Larva
  305.7474,    0.0185,    0.0000,Thrips palmi,Prepupa
   39.4867,    0.0247,    0.0000,Feltiella acarisuga,Egg
   19.5179,    0.0509,    0.0000,Feltiella acarisuga,Larva
   25.4529,    0.0389,    0.0000,Feltiella acarisuga,Pupa
   10.3873,    0.0663,    0.0000,Neoseiulus californicus,Larva
    6.0792,    0.1277,    0.0000,Neoseiulus californicus,Deutonymph
   91.4091,    0.0104,    0.0000,Laodelphax striatellus ,Egg PD
   41.1513,    0.0237,    0.0000,Thecodiplosis japonensis,Larva PD
   36.8411,    0.0251,    0.0000,Thecodiplosis japonensis,Pupa PD
   27.7321,    0.0324,    0.0000,"Aphis 
Gossypii",Protonymph
   39.7303,    0.0206,    0.0000,"Aphis 
Gossypii",Deutonymph
    4.4772,    0.2320,    0.0000,Amblyseius womersleyi,Larva
