shape,scale,shift,species,info
    3.4546,    0.0640,    0.7472,Cotesia melanoscela,E-L 1
   78.8298,    0.0151,    0.0207,Cotesia melanoscela,E-L 1
   35.1865,    0.0326,    0.0000,Cotesia melanoscela,E-L 2
   46.5139,    0.0176,    0.1055,Cotesia melanoscela,E-L 3
    6.0457,    0.1670,    0.0004,Toxoptera aurantii,Pupa 4
   12.8225,    0.0791,    0.0000,Calosoma sycophanta,Larva 1
    5.9593,    0.0638,    0.6369,Calosoma sycophanta,Larva 2
   18.3772,    0.0194,    0.6514,Calosoma sycophanta,Larva 3
   24.5500,    0.0380,    0.0000,Tenebrio molitor,Larva 1
   70.8550,    0.0136,    0.0000,Tenebrio molitor,Larva 2
   55.4190,    0.0173,    0.0000,Tenebrio molitor,Larva 3
   31.8064,    0.0295,    0.0000,Tenebrio molitor,Larva 4
   26.7363,    0.0351,    0.0000,Tenebrio molitor,Larva 5
   32.9141,    0.0290,    0.0000,Tenebrio molitor,Larva 6
   53.0214,    0.0182,    0.0000,Tenebrio molitor,Larva 7
   37.6030,    0.0260,    0.0000,Tenebrio molitor,Larva 8
   50.5352,    0.0190,    0.0000,Tenebrio molitor,Larva 9
   73.2739,    0.0133,    0.0000,Tenebrio molitor,Larva 10
   53.9773,    0.0180,    0.0000,Tenebrio molitor,Larva 11
   46.8025,    0.0204,    0.0000,Tenebrio molitor,Larva 12
   48.2272,    0.0198,    0.0000,Tenebrio molitor,Larva 13
   24.4464,    0.0389,    0.0000,Cnaphalocrocis medinalis,Larva1
   21.6308,    0.0439,    0.0002,Cnaphalocrocis medinalis,Larva 2
   10.1592,    0.0898,    0.0000,Cnaphalocrocis medinalis,Larva 3
    8.6077,    0.1071,    0.0000,Cnaphalocrocis medinalis,Larva 4
   14.1112,    0.0681,    0.0000,Cnaphalocrocis medinalis,Larva 5
   30.2688,    0.0314,    0.0000,Cnaphalocrocis medinalis,Larva 6
   10.4997,    0.0833,    0.0000,Aulacorthum solani,Nymphae 1
   36.3327,    0.0245,    0.0000,Aulacorthum solani,Nymphae 2
   20.6556,    0.0407,    0.0000,Aulacorthum solani,Nymphae 3
   70.3369,    0.0130,    0.0000,Aulacorthum solani,Nymphae 4
    1.9142,    0.5850,    0.0000,Megachile rotundata,Larva 1
    2.3885,    0.4583,    0.0000,Megachile rotundata,Larva 2
    1.9210,    0.5824,    0.0000,Megachile rotundata,Larva 3
    6.3224,    0.1606,    0.0000,Megachile rotundata,Larva 4
   15.6501,    0.0571,    0.0006,Laodelphax striatellus ,Nymphae 1
   13.2780,    0.0653,    0.0000,Laodelphax striatellus ,Nymphae 2
   12.7213,    0.0684,    0.0000,Laodelphax striatellus ,Nymphae 3
    9.3978,    0.0925,    0.0000,Laodelphax striatellus ,Nymphae 4
    9.2417,    0.0937,    0.0002,Laodelphax striatellus ,Nymphae 5
