"{0.1368246555807208, 1}","{0.1366003785956897, 0.98}","{0.1363676014760157, 0.96}","{0.13612583170452988, 0.94}","{0.13587453796887325, 0.9199999999999999}","{0.135613146265375, 0.8999999999999999}","{0.13534103552515106, 0.8799999999999999}","{0.13505753268335333, 0.8599999999999999}","{0.13476190713491568, 0.8399999999999999}","{0.1344533644404506, 0.8199999999999998}","{0.1341310392046742, 0.7999999999999998}","{0.13379398697457215, 0.7799999999999998}","{0.133441175001836, 0.7599999999999998}","{0.13307147167939667, 0.7399999999999998}","{0.13268363442452005, 0.7199999999999998}","{0.13227629573529626, 0.6999999999999997}","{0.13184794709100375, 0.6799999999999997}","{0.13139692029719277, 0.6599999999999997}","{0.13092136578955274, 0.6399999999999997}","{0.13041922730211558, 0.6199999999999997}","{0.12988821216874738, 0.5999999999999996}","{0.12932575635398938, 0.5799999999999996}","{0.1287289830889415, 0.5599999999999996}","{0.1280946537052897, 0.5399999999999996}","{0.12741910889542113, 0.5199999999999996}","{0.1266981981512829, 0.49999999999999956}","{0.12592719451101395, 0.47999999999999954}","{0.12510069091706125, 0.4599999999999995}","{0.12421247338741868, 0.4399999999999995}","{0.12325536471569194, 0.4199999999999995}","{0.12222103039123747, 0.39999999999999947}","{0.12109973564193963, 0.37999999999999945}","{0.11988003861445383, 0.35999999999999943}","{0.11854839921672689, 0.3399999999999994}","{0.11708867528606634, 0.3199999999999994}","{0.11548146631246273, 0.2999999999999994}","{0.11370324807943376, 0.27999999999999936}","{0.11172521608552437, 0.25999999999999934}","{0.10951171667202107, 0.23999999999999935}","{0.10701808336486632, 0.21999999999999936}","{0.10418759726947185, 0.19999999999999937}","{0.10094712677231646, 0.17999999999999938}","{0.09720072168993045, 0.1599999999999994}","{0.09281993798793915, 0.1399999999999994}","{0.08762873559451316, 0.1199999999999994}","{0.08137892864232016, 0.0999999999999994}","{0.07370808641320838, 0.07999999999999939}","{0.06406139829557161, 0.05999999999999939}","{0.051524420073405096, 0.03999999999999938}","{0.03431873505111463, 0.019999999999999383}"
"{0.8012861226036909, 1}","{0.7922996467176864, 0.98}","{0.7832669087358253, 0.96}","{0.7741863395699273, 0.94}","{0.7650562615281714, 0.9199999999999999}","{0.7558748781138926, 0.8999999999999999}","{0.7466402626256503, 0.8799999999999999}","{0.7373503453894367, 0.8599999999999999}","{0.7280028994252573, 0.8399999999999999}","{0.718595524317326, 0.8199999999999998}","{0.7091256280169196, 0.7999999999999998}","{0.6995904062589515, 0.7799999999999998}","{0.6899868192159606, 0.7599999999999998}","{0.6803115649430556, 0.7399999999999998}","{0.6705610490830399, 0.7199999999999998}","{0.6607313501977349, 0.6999999999999997}","{0.6508181799652818, 0.6799999999999997}","{0.6408168373278433, 0.6599999999999997}","{0.6307221554825753, 0.6399999999999997}","{0.6205284403700476, 0.6199999999999997}","{0.6102293990170369, 0.5999999999999996}","{0.5998180557158282, 0.5799999999999996}","{0.5892866535553012, 0.5599999999999996}","{0.5786265382060979, 0.5399999999999996}","{0.5678280201133994, 0.5199999999999996}","{0.5568802102455018, 0.49999999999999956}","{0.5457708232722267, 0.47999999999999954}","{0.5344859403667541, 0.4599999999999995}","{0.5230097216129724, 0.4399999999999995}","{0.5113240550582032, 0.4199999999999995}","{0.4994081255039623, 0.39999999999999947}","{0.4872378807554238, 0.37999999999999945}","{0.47478536576483243, 0.35999999999999943}","{0.46201788482004713, 0.3399999999999994}","{0.4488969377538234, 0.3199999999999994}","{0.43537685570466494, 0.2999999999999994}","{0.42140303254890144, 0.27999999999999936}","{0.4069096047943775, 0.25999999999999934}","{0.391816367711136, 0.23999999999999935}","{0.3760246156613476, 0.21999999999999936}","{0.35941143713072043, 0.19999999999999937}","{0.3418217381570974, 0.17999999999999938}","{0.323056830985882, 0.1599999999999994}","{0.30285763943283756, 0.1399999999999994}","{0.28087905158075066, 0.1199999999999994}","{0.2566486887654326, 0.0999999999999994}","{0.22949530994044592, 0.07999999999999939}","{0.19840798816835822, 0.05999999999999939}","{0.16169290271249082, 0.03999999999999938}","{0.11572844885705214, 0.019999999999999383}"
"{1.371435563792366, 1}","{1.3542914222417715, 0.98}","{1.337076815691245, 0.96}","{1.3197892889721008, 0.94}","{1.3024262208280863, 0.9199999999999999}","{1.2849848088602398, 0.8999999999999999}","{1.2674620527648575, 0.8799999999999999}","{1.2498547356317933, 0.8599999999999999}","{1.2321594030322918, 0.8399999999999999}","{1.214372339581807, 0.8199999999999998}","{1.196489542610375, 0.7999999999999998}","{1.178506692511201, 0.7799999999999998}","{1.1604191192560105, 0.7599999999999998}","{1.1422217644997534, 0.7399999999999998}","{1.12390913854064, 0.7199999999999998}","{1.105475271322841, 0.6999999999999997}","{1.086913656483974, 0.6799999999999997}","{1.0682171872349056, 0.6599999999999997}","{1.0493780826582442, 0.6399999999999997}","{1.030387802685508, 0.6199999999999997}","{1.0112369496564653, 0.5999999999999996}","{0.9919151539038521, 0.5799999999999996}","{0.9724109402325809, 0.5599999999999996}","{0.9527115714385354, 0.5399999999999996}","{0.9328028640940157, 0.5199999999999996}","{0.912668970655169, 0.49999999999999956}","{0.8922921204400309, 0.47999999999999954}","{0.8716523100752308, 0.4599999999999995}","{0.8507269314629082, 0.4399999999999995}","{0.8294903219683426, 0.4199999999999995}","{0.8079132170774153, 0.39999999999999947}","{0.785962079803674, 0.37999999999999945}","{0.7635982730330644, 0.35999999999999943}","{0.7407770298991998, 0.3399999999999994}","{0.7174461618714985, 0.3199999999999994}","{0.6935444225274091, 0.2999999999999994}","{0.6689994138937604, 0.27999999999999936}","{0.6437248769015251, 0.25999999999999934}","{0.6176171399204552, 0.23999999999999935}","{0.590550395989521, 0.21999999999999936}","{0.5623703162681529, 0.19999999999999937}","{0.5328852396501711, 0.17999999999999938}","{0.5018537173039487, 0.1599999999999994}","{0.468966344316553, 0.1399999999999994}","{0.43381812506644035, 0.1199999999999994}","{0.39586389380658216, 0.0999999999999994}","{0.35433990116182223, 0.07999999999999939}","{0.30810640370441555, 0.05999999999999939}","{0.25525842261524223, 0.03999999999999938}","{0.1917548872999904, 0.019999999999999383}"
"{1.7868422910910948, 1}","{1.7636927400280904, 0.98}","{1.740455965547453, 0.96}","{1.7171288222190284, 0.94}","{1.6937079564944113, 0.9199999999999999}","{1.6701897883568009, 0.8999999999999999}","{1.6465704909455916, 0.8799999999999999}","{1.622845967888736, 0.8599999999999999}","{1.5990118280140537, 0.8399999999999999}","{1.5750633571255728, 0.8199999999999998}","{1.5509954863515971, 0.7999999999999998}","{1.5268027566376585, 0.7799999999999998}","{1.5024792787792354, 0.7599999999999998}","{1.4780186883266868, 0.7399999999999998}","{1.4534140945678522, 0.7199999999999998}","{1.4286580226490664, 0.6999999999999997}","{1.4037423477203124, 0.6799999999999997}","{1.378658219776281, 0.6599999999999997}","{1.3533959776052424, 0.6399999999999997}","{1.32794504993792, 0.6199999999999997}","{1.3022938414941818, 0.5999999999999996}","{1.2764296011372918, 0.5799999999999996}","{1.2503382687366014, 0.5599999999999996}","{1.22400429657691, 0.5399999999999996}","{1.1974104401908205, 0.5199999999999996}","{1.1705375122706705, 0.49999999999999956}","{1.1433640917575556, 0.47999999999999954}","{1.1158661781999177, 0.4599999999999995}","{1.0880167788743151, 0.4399999999999995}","{1.0597854127619541, 0.4199999999999995}","{1.0311375109922547, 0.39999999999999947}","{1.0020336873943307, 0.37999999999999945}","{0.9724288447624435, 0.35999999999999943}","{0.942271071499888, 0.3399999999999994}","{0.9115002682110177, 0.3199999999999994}","{0.8800464226802935, 0.2999999999999994}","{0.8478274215944552, 0.27999999999999936}","{0.8147462436979022, 0.25999999999999934}","{0.7806873142162106, 0.23999999999999935}","{0.7455117013696537, 0.21999999999999936}","{0.7090506794792832, 0.19999999999999937}","{0.6710969259302106, 0.17999999999999938}","{0.6313921734754441, 0.1599999999999994}","{0.5896093151512782, 0.1399999999999994}","{0.5453253066295276, 0.1199999999999994}","{0.49797754643709136, 0.0999999999999994}","{0.44678720003918576, 0.07999999999999939}","{0.39060573995811676, 0.05999999999999939}","{0.32754125499559944, 0.03999999999999938}","{0.2537081876617796, 0.019999999999999383}"
"{2.0933032485883847, 1}","{2.0657100084734026, 0.98}","{2.038017758509289, 0.96}","{2.0102228436571306, 0.94}","{1.9823213711779262, 0.9199999999999999}","{1.9543091900802945, 0.8999999999999999}","{1.9261818683425047, 0.8799999999999999}","{1.8979346676167574, 0.8599999999999999}","{1.8695625150808544, 0.8399999999999999}","{1.841059972047588, 0.8199999999999998}","{1.8124211988818768, 0.7999999999999998}","{1.783639915700386, 0.7799999999999998}","{1.7547093582410411, 0.7599999999999998}","{1.72562222818574, 0.7399999999999998}","{1.6963706370929441, 0.7199999999999998}","{1.6669460429470955, 0.6999999999999997}","{1.6373391781493016, 0.6799999999999997}","{1.6075399675530297, 0.6599999999999997}","{1.5775374348803473, 0.6399999999999997}","{1.5473195955256878, 0.6199999999999997}","{1.5168733333506625, 0.5999999999999996}","{1.486184258575404, 0.5799999999999996}","{1.4552365432534664, 0.5599999999999996}","{1.424012730045421, 0.5399999999999996}","{1.3924935090373056, 0.5199999999999996}","{1.3606574561255942, 0.49999999999999956}","{1.3284807249335473, 0.47999999999999954}","{1.2959366822294152, 0.4599999999999995}","{1.2629954742440421, 0.4399999999999995}","{1.2296235079374398, 0.4199999999999995}","{1.1957828268705748, 0.39999999999999947}","{1.161430355516327, 0.37999999999999945}","{1.1265169780477582, 0.35999999999999943}","{1.0909864070783195, 0.3399999999999994}","{1.0547737833293722, 0.3199999999999994}","{1.0178039269977845, 0.2999999999999994}","{0.9799891329650173, 0.27999999999999936}","{0.9412263605931772, 0.25999999999999934}","{0.9013936075750171, 0.23999999999999935}","{0.860345163979878, 0.21999999999999936}","{0.8179052955166457, 0.19999999999999937}","{0.7738596630446339, 0.17999999999999938}","{0.7279433659076012, 0.1599999999999994}","{0.6798237209814963, 0.1399999999999994}","{0.6290743361217433, 0.1199999999999994}","{0.5751336086997744, 0.0999999999999994}","{0.5172322532844408, 0.07999999999999939}","{0.4542498048447047, 0.05999999999999939}","{0.38437273858487137, 0.03999999999999938}","{0.30400565249174416, 0.019999999999999383}"
"{2.3263098853673663, 1}","{2.295337649240607, 0.98}","{2.264257875537036, 0.96}","{2.2330665309075126, 0.94}","{2.2017593231623773, 0.9199999999999999}","{2.170331679209685, 0.8999999999999999}","{2.1387787206360462, 0.8799999999999999}","{2.1070952366258235, 0.8599999999999999}","{2.075275653868244, 0.8399999999999999}","{2.0433140030475476, 0.8199999999999998}","{2.0112038814471638, 0.7999999999999998}","{1.9789384111234736, 0.7799999999999998}","{1.9465101920140675, 0.7599999999999998}","{1.9139112492395327, 0.7399999999999998}","{1.8811329737285152, 0.7199999999999998}","{1.8481660551433052, 0.6999999999999997}","{1.8150004058978269, 0.6799999999999997}","{1.7816250748366953, 0.6599999999999997}","{1.7480281488726168, 0.6399999999999997}","{1.7141966405480473, 0.6199999999999997}","{1.680116359082325, 0.5999999999999996}","{1.6457717619649428, 0.5799999999999996}","{1.6111457835384273, 0.5599999999999996}","{1.576219636244559, 0.5399999999999996}","{1.5409725792449551, 0.5199999999999996}","{1.5053816479140525, 0.49999999999999956}","{1.4694213361667259, 0.47999999999999954}","{1.4330632216195602, 0.4599999999999995}","{1.3962755210645352, 0.4399999999999995}","{1.3590225604630237, 0.4199999999999995}","{1.3212641393954403, 0.39999999999999947}","{1.2829547642597119, 0.37999999999999945}","{1.2440427169878008, 0.35999999999999943}","{1.204468915896831, 0.3399999999999994}","{1.164165511411288, 0.3199999999999994}","{1.1230541401322907, 0.2999999999999994}","{1.081043733540406, 0.27999999999999936}","{1.0380277384558265, 0.25999999999999934}","{0.9938805486060572, 0.23999999999999935}","{0.9484528589413244, 0.21999999999999936}","{0.9015655164401002, 0.19999999999999937}","{0.853001214872712, 0.17999999999999938}","{0.8024929896899439, 0.1599999999999994}","{0.7497077476515462, 0.1399999999999994}","{0.6942216272649443, 0.1199999999999994}","{0.6354808340558742, 0.0999999999999994}","{0.572733847629463, 0.07999999999999939}","{0.5048989203201314, 0.05999999999999939}","{0.4302553369380226, 0.03999999999999938}","{0.3455020360621512, 0.019999999999999383}"
"{2.5086514037110166, 1}","{2.4750379442375827, 0.98}","{2.4413105896061578, 0.96}","{2.4074650198678653, 0.94}","{2.3734966407292233, 0.9199999999999999}","{2.33940056042288, 0.8999999999999999}","{2.3051715641327855, 0.8799999999999999}","{2.270804085660827, 0.8599999999999999}","{2.2362921759752385, 0.8399999999999999}","{2.201629468226433, 0.8199999999999998}","{2.1668091387497146, 0.7999999999999998}","{2.1318238634988194, 0.7799999999999998}","{2.0966657692625166, 0.7599999999999998}","{2.0613263789085474, 0.7399999999999998}","{2.025796549770243, 0.7199999999999998}","{1.9900664041367602, 0.6999999999999997}","{1.9541252506217364, 0.6799999999999997}","{1.9179614949619388, 0.6599999999999997}","{1.881562538524441, 0.6399999999999997}","{1.844914662472, 0.6199999999999997}","{1.8080028951304765, 0.5999999999999996}","{1.770810859606058, 0.5799999999999996}","{1.7333205980869997, 0.5599999999999996}","{1.6955123685019544, 0.5399999999999996}","{1.6573644082564905, 0.5199999999999996}","{1.6188526585753533, 0.49999999999999956}","{1.579950441466442, 0.47999999999999954}","{1.540628079402868, 0.4599999999999995}","{1.500852445353471, 0.4399999999999995}","{1.4605864276096423, 0.4199999999999995}","{1.4197882897051612, 0.39999999999999947}","{1.3784109002701381, 0.37999999999999945}","{1.336400800398571, 0.35999999999999943}","{1.29369706635754, 0.3399999999999994}","{1.2502299121714033, 0.3199999999999994}","{1.2059189582406786, 0.2999999999999994}","{1.1606710663100683, 0.27999999999999936}","{1.1143776040128897, 0.25999999999999934}","{1.0669109477036582, 0.23999999999999935}","{1.018119949820687, 0.21999999999999936}","{0.9678239678067854, 0.19999999999999937}","{0.9158048403113676, 0.17999999999999938}","{0.8617958322954585, 0.1599999999999994}","{0.8054659020649054, 0.1399999999999994}","{0.7463963175659488, 0.1199999999999994}","{0.6840437670162277, 0.0999999999999994}","{0.6176771059744252, 0.07999999999999939}","{0.5462553573768836, 0.05999999999999939}","{0.4681493223864022, 0.03999999999999938}","{0.38032420336081607, 0.019999999999999383}"
"{2.654918155672211, 1}","{2.6191895843701793, 0.98}","{2.58334224633992, 0.96}","{2.547371599571713, 0.94}","{2.511272816041007, 0.9199999999999999}","{2.47504075780302, 0.8999999999999999}","{2.438669950580865, 0.8799999999999999}","{2.402154554528057, 0.8599999999999999}","{2.3654883318007256, 0.8399999999999999}","{2.32866461051839, 0.8199999999999998}","{2.2916762446262107, 0.7999999999999998}","{2.254515569096211, 0.7799999999999998}","{2.2171743498109997, 0.7599999999999998}","{2.179643727367646, 0.7399999999999998}","{2.1419141539079334, 0.7199999999999998}","{2.1039753219287336, 0.6999999999999997}","{2.0658160838384294, 0.6799999999999997}","{2.027424360804008, 0.6599999999999997}","{1.9887870391613194, 0.6399999999999997}","{1.949889852332765, 0.6199999999999997}","{1.9107172457959154, 0.5999999999999996}","{1.8712522221531267, 0.5799999999999996}","{1.831476162746935, 0.5599999999999996}","{1.7913686215128024, 0.5399999999999996}","{1.7509070858249578, 0.5199999999999996}","{1.7100666979163883, 0.49999999999999956}","{1.6688199289734613, 0.47999999999999954}","{1.627136196124381, 0.4599999999999995}","{1.5849814101374529, 0.4399999999999995}","{1.5423174385439966, 0.4199999999999995}","{1.4991014648737813, 0.39999999999999947}","{1.4552852194060197, 0.37999999999999945}","{1.4108140498362765, 0.35999999999999943}","{1.365625790874146, 0.3399999999999994}","{1.3196493790422887, 0.3199999999999994}","{1.2728031413907808, 0.2999999999999994}","{1.2249926622336946, 0.27999999999999936}","{1.1761080968340552, 0.25999999999999934}","{1.1260207494438292, 0.23999999999999935}","{1.0745786554662227, 0.21999999999999936}","{1.0216007863288397, 0.19999999999999937}","{0.9668692982840813, 0.17999999999999938}","{0.910118907689577, 0.1599999999999994}","{0.8510218563970816, 0.1399999999999994}","{0.7891657107870962, 0.1199999999999994}","{0.7240186054929914, 0.0999999999999994}","{0.6548702142410897, 0.07999999999999939}","{0.5807193537536884, 0.05999999999999939}","{0.5000223895829484, 0.03999999999999938}","{0.4099783428847033, 0.019999999999999383}"
"{2.7747108353750227, 1}","{2.737253219482755, 0.98}","{2.6996730131035407, 0.96}","{2.66196549849383, 0.94}","{2.6241256629010663, 0.9199999999999999}","{2.5861481740806287, 0.8999999999999999}","{2.5480273532621767, 0.8799999999999999}","{2.5097571452439364, 0.8599999999999999}","{2.4713310852460464, 0.8399999999999999}","{2.432742262098111, 0.8199999999999998}","{2.3939832772705456, 0.7999999999999998}","{2.3550461991816465, 0.7799999999999998}","{2.3159225121213387, 0.7599999999999998}","{2.2766030590242656, 0.7399999999999998}","{2.237077977195321, 0.7199999999999998}","{2.1973366259366816, 0.6999999999999997}","{2.157367504841666, 0.6799999999999997}","{2.1171581612966017, 0.6599999999999997}","{2.0766950854649338, 0.6399999999999997}","{2.0359635907006366, 0.6199999999999997}","{1.9949476769406744, 0.5999999999999996}","{1.9536298741400349, 0.5799999999999996}","{1.9119910622128367, 0.5599999999999996}","{1.870010263202558, 0.5399999999999996}","{1.8276644004826623, 0.5199999999999996}","{1.784928018634747, 0.49999999999999956}","{1.7417729562007898, 0.47999999999999954}","{1.6981679616657663, 0.4599999999999995}","{1.654078240679758, 0.4399999999999995}","{1.6094649195109239, 0.4199999999999995}","{1.564284405806839, 0.39999999999999947}","{1.5184876226228212, 0.37999999999999945}","{1.472019084909345, 0.35999999999999943}","{1.4248157786095494, 0.3399999999999994}","{1.3768057902797306, 0.3199999999999994}","{1.3279066183414754, 0.2999999999999994}","{1.278023073605314, 0.27999999999999936}","{1.2270446432732822, 0.25999999999999934}","{1.1748421438606653, 0.23999999999999935}","{1.1212634152744336, 0.21999999999999936}","{1.0661276945112976, 0.19999999999999937}","{1.0092181229224777, 0.17999999999999938}","{0.9502715258374991, 0.1599999999999994}","{0.8889640302669285, 0.1399999999999994}","{0.8248899632763309, 0.1199999999999994}","{0.7575290678796491, 0.0999999999999994}","{0.6861913453726974, 0.07999999999999939}","{0.6099133181986854, 0.05999999999999939}","{0.527229869237304, 0.03999999999999938}","{0.43554423684657134, 0.019999999999999383}"
"{2.8745507223935505, 1}","{2.83565476636391, 0.98}","{2.7966331554443085, 0.96}","{2.757481030159268, 0.94}","{2.7181932289475403, 0.9199999999999999}","{2.67876426323888, 0.8999999999999999}","{2.639188289949701, 0.8799999999999999}","{2.59945908107285, 0.8599999999999999}","{2.5595699899906497, 0.8399999999999999}","{2.5195139140846634, 0.8199999999999998}","{2.4792832531485636, 0.7999999999999998}","{2.4388698630349, 0.7799999999999998}","{2.398265003874144, 0.7599999999999998}","{2.357459282096731, 0.7399999999999998}","{2.316442585361011, 0.7199999999999998}","{2.2752040093348147, 0.6999999999999997}","{2.2337317750969667, 0.6799999999999997}","{2.1920131357024504, 0.6599999999999997}","{2.1500342701892667, 0.6399999999999997}","{2.1077801629821122, 0.6199999999999997}","{2.065234466254, 0.5999999999999996}","{2.0223793423263046, 0.5799999999999996}","{1.979195282597062, 0.5599999999999996}","{1.9356608987560346, 0.5399999999999996}","{1.891752681139256, 0.5199999999999996}","{1.8474447179421447, 0.49999999999999956}","{1.8027083675877433, 0.47999999999999954}","{1.7575118747461034, 0.4599999999999995}","{1.7118199182085096, 0.4399999999999995}","{1.6655930758788684, 0.4199999999999995}","{1.618787188338888, 0.39999999999999947}","{1.5713525974792129, 0.37999999999999945}","{1.5232332301409184, 0.35999999999999943}","{1.4743654879898564, 0.3399999999999994}","{1.4246768930754643, 0.3199999999999994}","{1.3740844224126891, 0.2999999999999994}","{1.322492442503833, 0.27999999999999936}","{1.2697901228901385, 0.25999999999999934}","{1.2158481615826968, 0.23999999999999935}","{1.1605145860976052, 0.21999999999999936}","{1.1036092868532943, 0.19999999999999937}","{1.0449167670009432, 0.17999999999999938}","{0.984176299220952, 0.1599999999999994}","{0.921068148990208, 0.1399999999999994}","{0.8551934890650013, 0.1199999999999994}","{0.7860434285841352, 0.0999999999999994}","{0.712947384695941, 0.07999999999999939}","{0.6349771206912362, 0.05999999999999939}","{0.5507390772404025, 0.03999999999999938}","{0.4578152690655032, 0.019999999999999383}"
