"{0.1379352372895288, 1}","{0.13770700619433746, 0.98}","{0.13747013239233574, 0.96}","{0.13722411553735653, 0.94}","{0.13696841590617984, 0.9199999999999999}","{0.1367024504475572, 0.8999999999999999}","{0.13642558834584742, 0.8799999999999999}","{0.1361371460282362, 0.8599999999999999}","{0.1358363815323998, 0.8399999999999999}","{0.1355224881398589, 0.8199999999999998}","{0.1351945871403436, 0.7999999999999998}","{0.13485171964742768, 0.7799999999999998}","{0.13449283721571384, 0.7599999999999998}","{0.13411679114762443, 0.7399999999999998}","{0.13372232021880556, 0.7199999999999998}","{0.1333080365555519, 0.6999999999999997}","{0.13287240933123465, 0.6799999999999997}","{0.13241374587826574, 0.6599999999999997}","{0.1319301697247052, 0.6399999999999997}","{0.13141959495511435, 0.6199999999999997}","{0.13087969615756284, 0.5999999999999996}","{0.13030787304432223, 0.5799999999999996}","{0.1297012086116916, 0.5599999999999996}","{0.12905641941961718, 0.5399999999999996}","{0.12836979620397243, 0.5199999999999996}","{0.1276371325557778, 0.49999999999999956}","{0.12685363877392783, 0.47999999999999954}","{0.12601383716766015, 0.4599999999999995}","{0.12511143397669752, 0.4399999999999995}","{0.12413916158333292, 0.4199999999999995}","{0.12308858265692257, 0.39999999999999947}","{0.12194984507108228, 0.37999999999999945}","{0.12071137253261562, 0.35999999999999943}","{0.11935947035561377, 0.3399999999999994}","{0.11787781793584408, 0.3199999999999994}","{0.11624680803247182, 0.2999999999999994}","{0.1144426760820469, 0.27999999999999936}","{0.11243633729806256, 0.25999999999999934}","{0.11019181040151065, 0.23999999999999935}","{0.10766404559242801, 0.21999999999999936}","{0.10479587606488562, 0.19999999999999937}","{0.10151364963511182, 0.17999999999999938}","{0.0977208188124028, 0.1599999999999994}","{0.09328827277587513, 0.1399999999999994}","{0.08803927046853065, 0.1199999999999994}","{0.08172499244894849, 0.0999999999999994}","{0.07398269988813587, 0.07999999999999939}","{0.06425823343672045, 0.05999999999999939}","{0.051640323832153764, 0.03999999999999938}","{0.03436018024680076, 0.019999999999999383}"
"{0.8247242548948395, 1}","{0.8149021539176277, 0.98}","{0.8050485072906948, 0.96}","{0.7951617810227506, 0.94}","{0.7852403322417487, 0.9199999999999999}","{0.7752823989493134, 0.8999999999999999}","{0.7652860885706962, 0.8799999999999999}","{0.7552493651299769, 0.8599999999999999}","{0.745170034852014, 0.8399999999999999}","{0.7350457299589304, 0.8199999999999998}","{0.724873890388949, 0.7999999999999998}","{0.7146517431171052, 0.7799999999999998}","{0.7043762786993335, 0.7599999999999998}","{0.6940442245915838, 0.7399999999999998}","{0.6836520147103392, 0.7199999999999998}","{0.6731957545974695, 0.6999999999999997}","{0.6626711814257719, 0.6799999999999997}","{0.6520736179249332, 0.6599999999999997}","{0.6413979191158972, 0.6399999999999997}","{0.6306384105017421, 0.6199999999999997}","{0.6197888160645656, 0.5999999999999996}","{0.6088421740429774, 0.5799999999999996}","{0.5977907379898425, 0.5599999999999996}","{0.5866258600142106, 0.5399999999999996}","{0.5753378523261314, 0.5199999999999996}","{0.5639158222335847, 0.49999999999999956}","{0.552347474435388, 0.47999999999999954}","{0.5406188727828143, 0.4599999999999995}","{0.5287141514638756, 0.4399999999999995}","{0.5166151626184599, 0.4199999999999995}","{0.5043010434393272, 0.39999999999999947}","{0.4917476804568045, 0.37999999999999945}","{0.47892704135712927, 0.35999999999999943}","{0.46580633453653997, 0.3399999999999994}","{0.45234694226357997, 0.3199999999999994}","{0.43850305306077775, 0.2999999999999994}","{0.424219889501959, 0.27999999999999936}","{0.40943138446249067, 0.25999999999999934}","{0.39405709411154294, 0.23999999999999935}","{0.37799803662255954, 0.21999999999999936}","{0.3611309890410402, 0.19999999999999937}","{0.3433005196500487, 0.17999999999999938}","{0.32430759948852955, 0.1599999999999994}","{0.3038928573041646, 0.1399999999999994}","{0.2817110326947219, 0.1199999999999994}","{0.2572899421327551, 0.0999999999999994}","{0.22995926397534985, 0.07999999999999939}","{0.1987104442887061, 0.05999999999999939}","{0.16185487766333462, 0.03999999999999938}","{0.11578168396329616, 0.019999999999999383}"
"{1.400835587256959, 1}","{1.38262313076439, 0.98}","{1.364359599634951, 0.96}","{1.3460425650593915, 0.94}","{1.3276694316622928, 0.9199999999999999}","{1.309237422399849, 0.8999999999999999}","{1.2907435617455696, 0.8799999999999999}","{1.272184656930282, 0.8599999999999999}","{1.253557276964759, 0.8399999999999999}","{1.2348577291297287, 0.8199999999999998}","{1.216082032564441, 0.7999999999999998}","{1.197225888522666, 0.7799999999999998}","{1.17828464678987, 0.7599999999999998}","{1.1592532676587768, 0.7399999999999998}","{1.1401262787737578, 0.7199999999999998}","{1.1208977259778004, 0.6999999999999997}","{1.1015611171848674, 0.6799999999999997}","{1.0821093580806482, 0.6599999999999997}","{1.062534678196835, 0.6399999999999997}","{1.0428285456430728, 0.6199999999999997}","{1.02298156838513, 0.5999999999999996}","{1.0029833795092649, 0.5799999999999996}","{0.982822503336079, 0.5599999999999996}","{0.9624861985226824, 0.5399999999999996}","{0.9419602733734014, 0.5199999999999996}","{0.9212288674065193, 0.49999999999999956}","{0.9002741917181935, 0.47999999999999954}","{0.8790762187338206, 0.4599999999999995}","{0.8576123093919185, 0.4399999999999995}","{0.835856762457046, 0.4199999999999995}","{0.8137802662116808, 0.39999999999999947}","{0.7913492268169193, 0.37999999999999945}","{0.7685249395554791, 0.35999999999999943}","{0.7452625581016251, 0.3399999999999994}","{0.7215098015960695, 0.3199999999999994}","{0.697205317664891, 0.2999999999999994}","{0.6722765885549502, 0.27999999999999936}","{0.6466372224145676, 0.25999999999999934}","{0.6201834044968453, 0.23999999999999935}","{0.5927891802573939, 0.21999999999999936}","{0.5643000801406957, 0.19999999999999937}","{0.5345243298137208, 0.17999999999999938}","{0.5032204310670892, 0.1599999999999994}","{0.4700790565598223, 0.1399999999999994}","{0.4346955238902769, 0.1199999999999994}","{0.39652540297596384, 0.0999999999999994}","{0.35480642362663867, 0.07999999999999939}","{0.30840161801672045, 0.05999999999999939}","{0.2554110398019095, 0.03999999999999938}","{0.19180268544162873, 0.019999999999999383}"
"{1.8163983148200882, 1}","{1.7921696931802666, 0.98}","{1.7678736071368546, 0.96}","{1.7435069278685902, 0.94}","{1.7190663179273489, 0.9199999999999999}","{1.6945482128475624, 0.8999999999999999}","{1.6699488007261543, 0.8799999999999999}","{1.6452639995031035, 0.8599999999999999}","{1.6204894316325407, 0.8399999999999999}","{1.595620395766763, 0.8199999999999998}","{1.570651835075479, 0.7999999999999998}","{1.5455783016416778, 0.7799999999999998}","{1.5203939164185811, 0.7599999999999998}","{1.4950923240429905, 0.7399999999999998}","{1.4696666417163693, 0.7199999999999998}","{1.4441094012123774, 0.6999999999999997}","{1.4184124828955622, 0.6799999999999997}","{1.392567040421335, 0.6599999999999997}","{1.3665634145272076, 0.6399999999999997}","{1.3403910340056528, 0.6199999999999997}","{1.3140383015544952, 0.5999999999999996}","{1.2874924617122443, 0.5799999999999996}","{1.2607394474774247, 0.5599999999999996}","{1.233763701447874, 0.5399999999999996}","{1.2065479663552783, 0.5199999999999996}","{1.1790730386502113, 0.49999999999999956}","{1.1513174772361987, 0.47999999999999954}","{1.1232572574480357, 0.4599999999999995}","{1.0948653577730934, 0.4399999999999995}","{1.066111263421736, 0.4199999999999995}","{1.0369603663786269, 0.39999999999999947}","{1.0073732356106522, 0.37999999999999945}","{0.9773047230932287, 0.35999999999999943}","{0.9467028604077419, 0.3399999999999994}","{0.9155074856188534, 0.3199999999999994}","{0.8836485190875996, 0.2999999999999994}","{0.8510437769157531, 0.27999999999999936}","{0.8175961672427187, 0.25999999999999934}","{0.7831900500635463, 0.23999999999999935}","{0.7476864427060399, 0.21999999999999936}","{0.7109165975598799, 0.19999999999999937}","{0.6726732226653134, 0.17999999999999938}","{0.6326981720316835, 0.1599999999999994}","{0.5906646117003221, 0.1399999999999994}","{0.5461500206623849, 0.1199999999999994}","{0.49859273053767533, 0.0999999999999994}","{0.447215508858744, 0.07999999999999939}","{0.3908725237669988, 0.05999999999999939}","{0.32767636496567876, 0.03999999999999938}","{0.253749114121458, 0.019999999999999383}"
"{2.121361119492191, 1}","{2.092741317278873, 0.98}","{2.0640413782254163, 0.96}","{2.035257657430057, 0.94}","{2.0063862718188457, 0.9199999999999999}","{1.9774230795605388, 0.8999999999999999}","{1.94836365725252, 0.8799999999999999}","{1.919203274585884, 0.8599999999999999}","{1.8899368661537364, 0.8399999999999999}","{1.8605590000138528, 0.8199999999999998}","{1.8310638425537893, 0.7999999999999998}","{1.8014451191335463, 0.7799999999999998}","{1.771696069892907, 0.7599999999999998}","{1.7418094000052333, 0.7399999999999998}","{1.71177722353459, 0.7199999999999998}","{1.6815909999020253, 0.6999999999999997}","{1.651241461784783, 0.6799999999999997}","{1.620718533051425, 0.6599999999999997}","{1.5900112350679865, 0.6399999999999997}","{1.5591075793807907, 0.6199999999999997}","{1.527994444379466, 0.5999999999999996}","{1.496657433045073, 0.5799999999999996}","{1.4650807082702442, 0.5599999999999996}","{1.4332468014672348, 0.5399999999999996}","{1.4011363892115105, 0.5199999999999996}","{1.3687280314453345, 0.49999999999999956}","{1.3359978632111824, 0.47999999999999954}","{1.302919229893522, 0.4599999999999995}","{1.2694622533792013, 0.4399999999999995}","{1.2355933132051868, 0.4199999999999995}","{1.2012744223796128, 0.39999999999999947}","{1.1664624717543726, 0.37999999999999945}","{1.1311083090538328, 0.35999999999999943}","{1.0951556081339093, 0.3399999999999994}","{1.0585394695960313, 0.3199999999999994}","{1.0211846737523371, 0.2999999999999994}","{0.9830034784208084, 0.27999999999999936}","{0.9438928128064317, 0.25999999999999934}","{0.9037306577121452, 0.23999999999999935}","{0.8623713094141296, 0.21999999999999936}","{0.8196390780618572, 0.19999999999999937}","{0.775319730496874, 0.17999999999999938}","{0.7291485695520612, 0.1599999999999994}","{0.680793268805206, 0.1399999999999994}","{0.6298280327288474, 0.1199999999999994}","{0.5756922309427689, 0.0999999999999994}","{0.5176181398137027, 0.07999999999999939}","{0.4544877868783011, 0.05999999999999939}","{0.38449163407731424, 0.03999999999999938}","{0.3040408326762306, 0.019999999999999383}"
"{2.3524761861520833, 1}","{2.320545333973903, 0.98}","{2.2885246085317466, 0.96}","{2.256409982512068, 0.94}","{2.224197169340972, 0.9199999999999999}","{2.1918816010956177, 0.8999999999999999}","{2.159458404056655, 0.8799999999999999}","{2.126922371596154, 0.8599999999999999}","{2.094267934050988, 0.8399999999999999}","{2.0614891251762058, 0.8199999999999998}","{2.0285795447092134, 0.7999999999999998}","{1.9955323165001297, 0.7799999999999998}","{1.962340041572821, 0.7599999999999998}","{1.9289947453752103, 0.7399999999999998}","{1.895487818348472, 0.7199999999999998}","{1.8618099487920114, 0.6999999999999997}","{1.8279510468156195, 0.6799999999999997}","{1.7939001579476437, 0.6599999999999997}","{1.7596453646959254, 0.6399999999999997}","{1.7251736740275618, 0.6199999999999997}","{1.690470888329174, 0.5999999999999996}","{1.6555214569086036, 0.5799999999999996}","{1.6203083044832032, 0.5599999999999996}","{1.5848126323297747, 0.5399999999999996}","{1.5490136868109212, 0.5199999999999996}","{1.5128884887800818, 0.49999999999999956}","{1.476411515834732, 0.47999999999999954}","{1.439554327427697, 0.4599999999999995}","{1.4022851203295994, 0.4399999999999995}","{1.3645681986742293, 0.4199999999999995}","{1.3263633385534437, 0.39999999999999947}","{1.2876250215026979, 0.37999999999999945}","{1.2483015037151157, 0.35999999999999943}","{1.208333677700876, 0.3399999999999994}","{1.1676536692749042, 0.3199999999999994}","{1.1261830935642583, 0.2999999999999994}","{1.0838308666397933, 0.27999999999999936}","{1.0404904303681846, 0.25999999999999934}","{0.9960361905413556, 0.23999999999999935}","{0.950318880987637, 0.21999999999999936}","{0.9031594290221611, 0.19999999999999937}","{0.8543406721735278, 0.17999999999999938}","{0.8035958861563189, 0.1599999999999994}","{0.7505923646020419, 0.1399999999999994}","{0.694906855830845, 0.1199999999999994}","{0.6359865151962667, 0.0999999999999994}","{0.5730812932168529, 0.07999999999999939}","{0.5051117185310462, 0.05999999999999939}","{0.430360623557594, 0.03999999999999938}","{0.34553266192228416, 0.019999999999999383}"
"{2.5329401306802617, 1}","{2.4984359917658914, 0.98}","{2.4638343949225354, 0.96}","{2.4291310235992127, 0.94}","{2.3943212865308903, 0.9199999999999999}","{2.3594002945877874, 0.8999999999999999}","{2.3243628351777947, 0.8799999999999999}","{2.289203343888139, 0.8599999999999999}","{2.2539158730072906, 0.8399999999999999}","{2.218494056512011, 0.8199999999999998}","{2.182931071039145, 0.7999999999999998}","{2.147219592285575, 0.7799999999999998}","{2.1113517461892, 0.7599999999999998}","{2.0753190541339492, 0.7399999999999998}","{2.0391123712950887, 0.7199999999999998}","{2.0027218170851, 0.6999999999999997}","{1.9661366964751938, 0.6799999999999997}","{1.9293454107437642, 0.6599999999999997}","{1.8923353559311737, 0.6399999999999997}","{1.8550928069504495, 0.6199999999999997}","{1.8176027848985148, 0.5999999999999996}","{1.7798489046177808, 0.5799999999999996}","{1.7418131989431669, 0.5599999999999996}","{1.7034759153106835, 0.5399999999999996}","{1.6648152794523985, 0.5199999999999996}","{1.6258072197110518, 0.49999999999999956}","{1.5864250439990408, 0.47999999999999954}","{1.5466390595086044, 0.4599999999999995}","{1.5064161228208166, 0.4399999999999995}","{1.4657191048842124, 0.4199999999999995}","{1.4245062511934514, 0.39999999999999947}","{1.382730412054965, 0.37999999999999945}","{1.3403381105884515, 0.35999999999999943}","{1.2972684063877506, 0.3399999999999994}","{1.2534514995144346, 0.3199999999999994}","{1.2088070011862813, 0.2999999999999994}","{1.1632417717703765, 0.27999999999999936}","{1.1166471897404409, 0.25999999999999934}","{1.068895660950344, 0.23999999999999935}","{1.0198360954181873, 0.21999999999999936}","{0.9692879500765557, 0.19999999999999937}","{0.9170332253699318, 0.17999999999999938}","{0.8628054406031507, 0.1599999999999994}","{0.8062739460960032, 0.1399999999999994}","{0.7470206072417458, 0.1199999999999994}","{0.6845030176446272, 0.0999999999999994}","{0.6179914027123952, 0.07999999999999939}","{0.5464468628848349, 0.05999999999999939}","{0.4682433810482565, 0.03999999999999938}","{0.3803512112912586, 0.019999999999999383}"
"{2.677471753852308, 1}","{2.6409155100894552, 0.98}","{2.6042557906147885, 0.96}","{2.5674880550778147, 0.94}","{2.53060747678833, 0.9199999999999999}","{2.4936089187935533, 0.8999999999999999}","{2.4564869074475895, 0.8799999999999999}","{2.419235603154421, 0.8599999999999999}","{2.381848767918674, 0.8399999999999999}","{2.344319729283643, 0.8199999999999998}","{2.306641340169805, 0.7999999999999998}","{2.2688059340496394, 0.7799999999999998}","{2.2308052748041383, 0.7599999999999998}","{2.192630500497402, 0.7399999999999998}","{2.1542720601762233, 0.7199999999999998}","{2.1157196426477087, 0.6999999999999997}","{2.0769620960022355, 0.6799999999999997}","{2.037987336425332, 0.6599999999999997}","{1.9987822445723733, 0.6399999999999997}","{1.9593325474511074, 0.6199999999999997}","{1.9196226833555625, 0.5999999999999996}","{1.8796356469043252, 0.5799999999999996}","{1.839352810629224, 0.5599999999999996}","{1.7987537188093483, 0.5399999999999996}","{1.757815848310644, 0.5199999999999996}","{1.7165143300180665, 0.49999999999999956}","{1.6748216229693953, 0.47999999999999954}","{1.632707131421688, 0.4599999999999995}","{1.590136752683281, 0.4399999999999995}","{1.5470723404487652, 0.4199999999999995}","{1.5034710643583251, 0.39999999999999947}","{1.4592846412290414, 0.37999999999999945}","{1.4144584064250914, 0.35999999999999943}","{1.3689301844721613, 0.3399999999999994}","{1.3226289053188511, 0.3199999999999994}","{1.27547289514757, 0.2999999999999994}","{1.2273677461147197, 0.27999999999999936}","{1.1782036343423274, 0.25999999999999934}","{1.1278519041497712, 0.23999999999999935}","{1.0761606591496473, 0.21999999999999936}","{1.0229489800717773, 0.19999999999999937}","{0.967999192440878, 0.17999999999999938}","{0.9110462695400303, 0.1599999999999994}","{0.8517628386620739, 0.1399999999999994}","{0.7897370408782877, 0.1199999999999994}","{0.7244378657208599, 0.0999999999999994}","{0.6551562596205875, 0.07999999999999939}","{0.5808929419354951, 0.05999999999999939}","{0.500107155174214, 0.03999999999999938}","{0.4100024360220578, 0.019999999999999383}"
"{2.795702334262398, 1}","{2.7574738956424576, 0.98}","{2.719137119032841, 0.96}","{2.680687287176736, 0.94}","{2.6421193875209945, 0.9199999999999999}","{2.603428087718956, 0.8999999999999999}","{2.5646077085817116, 0.8799999999999999}","{2.525652194156405, 0.8599999999999999}","{2.4865550785624393, 0.8399999999999999}","{2.4473094491612186, 0.8199999999999998}","{2.4079079055680945, 0.7999999999999998}","{2.368342513939676, 0.7799999999999998}","{2.3286047558761873, 0.7599999999999998}","{2.2886854711724673, 0.7399999999999998}","{2.2485747935205223, 0.7199999999999998}","{2.208262078113019, 0.6999999999999997}","{2.167735819912953, 0.6799999999999997}","{2.1269835611317855, 0.6599999999999997}","{2.0859917861900974, 0.6399999999999997}","{2.0447458021093254, 0.6199999999999997}","{2.003229601885346, 0.5999999999999996}","{1.9614257079092121, 0.5799999999999996}","{1.9193149919006454, 0.5599999999999996}","{1.8768764670813665, 0.5399999999999996}","{1.8340870473930069, 0.5199999999999996}","{1.7909212674141484, 0.49999999999999956}","{1.7473509551807944, 0.47999999999999954}","{1.703344848278719, 0.4599999999999995}","{1.658868141233423, 0.4399999999999995}","{1.613881949211266, 0.4199999999999995}","{1.568342669141382, 0.39999999999999947}","{1.5222012142603052, 0.37999999999999945}","{1.4754020913338355, 0.35999999999999943}","{1.427882280793449, 0.3399999999999994}","{1.3795698678238295, 0.3199999999999994}","{1.3303823556856151, 0.2999999999999994}","{1.280224569165476, 0.27999999999999936}","{1.228986022725628, 0.25999999999999934}","{1.176537579323572, 0.23999999999999935}","{1.1227271529173364, 0.21999999999999936}","{1.0673740942689098, 0.19999999999999937}","{1.0102617157011922, 0.17999999999999938}","{0.951127096162358, 0.1599999999999994}","{0.8896467361793795, 0.1399999999999994}","{0.8254155111633249, 0.1199999999999994}","{0.757913968943275, 0.0999999999999994}","{0.686453294707935, 0.07999999999999939}","{0.6100717616976524, 0.05999999999999939}","{0.527306874054049, 0.03999999999999938}","{0.43556594451296854, 0.019999999999999383}"
"{2.8941488517282936, 1}","{2.854532862053959, 0.98}","{2.814804539626427, 0.96}","{2.774959024650496, 0.94}","{2.734991154989759, 0.9199999999999999}","{2.6948954412319726, 0.8999999999999999}","{2.654666039171815, 0.8799999999999999}","{2.6142967193876725, 0.8599999999999999}","{2.573780833541175, 0.8399999999999999}","{2.5331112769723303, 0.8199999999999998}","{2.492280447097259, 0.7999999999999998}","{2.4512801970392144, 0.7799999999999998}","{2.4101017838312697, 0.7599999999999998}","{2.368735810421836, 0.7399999999999998}","{2.3271721605852074, 0.7199999999999998}","{2.285399925686297, 0.6999999999999997}","{2.2434073220654547, 0.6799999999999997}","{2.2011815975877287, 0.6599999999999997}","{2.1587089256355134, 0.6399999999999997}","{2.115974284500569, 0.6199999999999997}","{2.072961319737668, 0.5999999999999996}","{2.0296521865629753, 0.5799999999999996}","{1.9860273687880965, 0.5599999999999996}","{1.9420654700533961, 0.5399999999999996}","{1.897742972216108, 0.5199999999999996}","{1.853033954620309, 0.49999999999999956}","{1.8079097665524033, 0.47999999999999954}","{1.762338643390754, 0.4599999999999995}","{1.7162852546685539, 0.4399999999999995}","{1.6697101693343588, 0.4199999999999995}","{1.6225692196973935, 0.39999999999999947}","{1.5748127405912236, 0.37999999999999945}","{1.526384653759142, 0.35999999999999943}","{1.4772213587656384, 0.3399999999999994}","{1.4272503800007064, 0.3199999999999994}","{1.3763887032801696, 0.2999999999999994}","{1.3245407131920068, 0.27999999999999936}","{1.271595610616122, 0.25999999999999934}","{1.21742414375304, 0.23999999999999935}","{1.16187441709876, 0.21999999999999936}","{1.1047664361672211, 0.19999999999999937}","{1.045884873577437, 0.17999999999999938}","{0.9849692493408454, 0.1599999999999994}","{0.9217001883082897, 0.1399999999999994}","{0.8556793847430055, 0.1199999999999994}","{0.7863987054151389, 0.0999999999999994}","{0.7131886716943275, 0.07999999999999939}","{0.6351226659862867, 0.05999999999999939}","{0.5508095336610589, 0.03999999999999938}","{0.45783499543279943, 0.019999999999999383}"
