species,stage,weibull_shape,weibull_scale,weibull_shift,scale_av_zero,shape_av_zero,shift_av_zero,scale_se_zero,shape_se_zero,shift_se_zero,w-dist_zero,scale_av_pos,shape_av_pos,shift_av_pos,scale_se_pos,shape_se_pos,shift_se_pos,w-dist_pos,scale_av_copy,shape_av_copy,shift_av_copy,scale_se_copy,shape_se_copy,shift_se_copy,w-dist_copy
Otiorhynchus sulcatu,Egg,0.9654,35.1806,0.0,    0.0013,  760.5935,    0.0000,    0.0000,    6.1755,    0.0000,    0.0043,    0.0012,  769.7086,    0.0014,    0.0000,    5.2479,    0.0013,    0.0043,    0.0012,  770.2236,    0.0000,    0.0000,    8.4892,    0.0000,    0.0029
Otiorhynchus sulcatu,Larva,0.9969,13.8041,0.0,    0.0080,  120.3375,    0.0000,    0.0000,    0.7462,    0.0000,    0.0159,    0.0081,  118.9202,    0.0030,    0.0001,    1.2613,    0.0019,    0.0159,    0.0079,  121.3661,    0.0000,    0.0001,    0.9297,    0.0000,    0.0158
Otiorhynchus sulcatu,Pupa,0.9849,18.0923,0.0,    0.0047,  205.0172,    0.0000,    0.0000,    1.7726,    0.0000,    0.0186,    0.0046,  206.6603,    0.0001,    0.0000,    1.3906,    0.0000,    0.0186,    0.0047,  203.8279,    0.0000,    0.0000,    1.9935,    0.0000,    0.0186
A. urticae,Larva,0.56066,12.63091,0.42898,    0.0029,  336.1896,    0.0000,    0.0000,    1.4821,    0.0000,    0.0140,    0.0029,  334.7834,    0.0000,    0.0000,    2.5892,    0.0000,    0.0142,    0.0054,  100.4547,    0.4290,    0.0001,    1.1936,    0.0000,    0.0155
A. urticae,Pupa,0.21998,2.94989,0.75753,    0.0055,  173.9939,    0.0000,    0.0000,    0.7348,    0.0000,    0.0007,    0.0055,  173.1255,    0.0000,    0.0000,    0.7275,    0.0000,    0.0007,    0.0311,    6.3284,    0.7575,    0.0003,    0.0559,    0.0000,    0.0123
Inachis io,Larva,0.27823,13.58128,0.41489,    0.0009,  779.0615,    0.0000,    0.0000,    7.6890,    0.0000,    0.0015,    0.0009,  790.6143,    0.0017,    0.0000,    7.2323,    0.0016,    0.0016,    0.0023,  115.9781,    0.4149,    0.0000,    0.9721,    0.0000,    0.0016
Inachis io,Pupa,0.47038,10.09724,0.489,    0.0032,  295.6367,    0.0000,    0.0000,    1.8519,    0.0000,    0.0121,    0.0031,  300.8719,    0.0000,    0.0000,    2.1417,    0.0000,    0.0119,    0.0069,   65.2743,    0.4890,    0.0001,    0.5787,    0.0000,    0.0138
Polygonia c-album,Larva,0.56311,12.37774,0.42394,    0.0030,  320.5806,    0.0000,    0.0000,    2.5989,    0.0000,    0.0142,    0.0030,  318.1702,    0.0000,    0.0000,    2.2171,    0.0000,    0.0148,    0.0055,   97.7905,    0.4239,    0.0000,    0.8083,    0.0000,    0.0167
Polygonia c-album,Pupa,0.19083,2.82774,0.77654,    0.0045,  211.4003,    0.0000,    0.0000,    0.8974,    0.0000,    0.0022,    0.0080,  105.6771,    0.3253,    0.0010,   24.9544,    0.0790,    0.2270,    0.0288,    5.8923,    0.7765,    0.0002,    0.0445,    0.0000,    0.0119
Languria mozardi,Egg,0.7222,1.4334,0.4357,    0.1750,    6.2349,    0.0000,    0.0005,    0.0187,    0.0000,    0.0396,    0.3550,    1.8745,    0.4271,    0.0038,    0.0225,    0.0010,    0.0175,    0.3742,    1.7626,    0.4357,    0.0029,    0.0120,    0.0000,    0.0222
