shape,scale,shift,w-dist,species,stage
    0.0013,  756.7855,    0.0000,    0.0060,Otiorhynchus sulcatu,Egg
    0.0081,  119.1001,    0.0000,    0.0159,Otiorhynchus sulcatu,Larva
    0.0047,  202.8423,    0.0000,    0.0190,Otiorhynchus sulcatu,Pupa
    0.0054,  100.0526,    0.4290,    0.0166,A. urticae,Larva
    0.0314,    6.2293,    0.7575,    0.0126,A. urticae,Pupa
    0.0023,  115.3551,    0.4149,    0.0016,Inachis io,Larva
    0.0069,   64.5795,    0.4890,    0.0142,Inachis io,Pupa
    0.0056,   96.1601,    0.4239,    0.0174,Polygonia c-album,Larva
    0.0294,    5.7675,    0.7765,    0.0121,Polygonia c-album,Pupa
    0.3698,    1.7655,    0.4357,    0.0236,Languria mozardi,Egg
    0.1302,    4.4124,    0.4708,    0.0255,Languria mozardi,Larva
    0.0925,    5.6854,    0.6205,    0.0228,Languria mozardi,Pupa
    0.0425,    3.1591,    0.8748,    0.0045,Campylomma verbasci,Egg
    0.0911,    2.6088,    0.7814,    0.0110,Zonosemata electa,Pupa
    0.0554,    5.8843,    0.8990,    0.0144,Cotesia melanoscela,Pupa
    0.0164,   30.5556,    0.9480,    0.0139,Cotesia melanoscela,Pupa
    0.0874,    3.8995,    0.6700,    0.0153,Typhlocyba pomaria,Egg
    0.0267,    7.9775,    0.7610,    0.0119,Acantholyda erythrocephala ,Egg
    0.0587,    6.2150,    0.5880,    0.0164,Acantholyda erythrocephala ,Larva
    0.0661,    3.4192,    0.7520,    0.0101,Acantholyda erythrocephala ,Larva
    0.0368,    3.3595,    0.8900,    0.0078,Hylobius pales,Egg
    0.0527,    4.3559,    0.7800,    0.0128,Hylobius pales,Larva
    0.1288,    3.2205,    0.6300,    0.0184,Hylobius pales,Prepupa
    0.0389,    7.3572,    0.7200,    0.0141,Hylobius pales,Pupa
    0.1078,    2.3593,    0.7594,    0.0099,Rhagoletis mendax,Pupa
    0.0556,    2.1555,    0.8959,    0.0096,Bemisia tabaci,Egg
    0.0978,    2.4266,    0.7875,    0.0107,Bemisia tabaci,Pupa
    0.0759,    3.9322,    0.7138,    0.0124,Ips calligraphus,Egg
    0.1102,    2.3079,    0.7754,    0.0107,Ips calligraphus,Larva
    0.1372,    3.8728,    0.4874,    0.0236,Ips calligraphus,Pupa
    0.1179,    4.5309,    0.4788,    0.0232,Ips avulsus,Egg
    0.1126,    4.3708,    0.5177,    0.0219,Ips avulsus,Larva
    0.2026,    4.2651,    0.1636,    0.0384,Ips avulsus,Pupa
    0.0452,    5.4403,    0.7594,    0.0133,Toxoptera aurantii,Pupa
    0.0344,    3.6446,    0.8819,    0.0075,Calosoma sycophanta,Pupa
    0.1698,    1.9278,    0.7081,    0.0144,Diabrotica barberi,Egg PD
    0.0366,    4.3739,    0.8337,    0.0076,Myzus persicae ,Nymph
    0.0262,    8.9725,    0.7644,    0.0097,Myzus persicae ,Nymph
    0.0091,  107.3853,    0.0000,    0.0135,Tenebrio molitor,Larva
    0.0136,   70.0414,    0.0000,    0.0171,Cnaphalocrocis medinalis,Egg
    0.0139,   71.0460,    0.0000,    0.0186,Cnaphalocrocis medinalis,Larva
    0.0388,   25.5508,    0.0000,    0.0268,Cnaphalocrocis medinalis,Prepupa
    0.0107,   92.2762,    0.0000,    0.0162,Cnaphalocrocis medinalis,Pupa
    0.0235,   11.3897,    0.0000,    0.0133,Thrips palmi,Egg
    0.0336,   11.3231,    0.0000,    0.0143,Thrips palmi,Larva
    0.0185,  305.7474,    0.0000,    0.0529,Thrips palmi,Prepupa
    0.0247,   39.4867,    0.0000,    0.0242,Feltiella acarisuga,Egg
    0.0509,   19.5179,    0.0000,    0.0304,Feltiella acarisuga,Larva
    0.0389,   25.4529,    0.0000,    0.0268,Feltiella acarisuga,Pupa
    0.1490,    7.9227,   -0.3740,    0.0429,Neoseiulus californicus,Egg
    0.1016,    4.9480,    0.1860,    0.0219,Neoseiulus californicus,Larva
    0.0818,   12.2712,   -0.2280,    0.0352,Neoseiulus californicus,Protonymph
    0.2597,    1.8264,    0.3020,    0.0192,Neoseiulus californicus,Deutonymph
    0.0104,   91.4091,    0.0000,    0.0165,Laodelphax striatellus ,Egg PD
    0.0237,   41.1513,    0.0000,    0.0238,Thecodiplosis japonensis,Larva PD
    0.0251,   36.8411,    0.0000,    0.0210,Thecodiplosis japonensis,Pupa PD
    0.0595,    9.1069,    0.3560,    0.0210,"Aphis 
Gossypii",Protonymph
    0.0388,   12.2816,    0.3420,    0.0177,"Aphis 
Gossypii",Deutonymph
    0.2733,    5.6537,   -0.5170,    0.0553,Amblyseius womersleyi,Egg
    0.2524,    3.9240,    0.0486,    0.0439,Amblyseius womersleyi,Larva
    0.5817,    2.0674,   -0.0762,    0.0423,Amblyseius womersleyi,Protonymph
    0.4176,    3.0037,   -0.1790,    0.0490,Amblyseius womersleyi,Deutonymph
