shape,scale,shift,species,stage
    0.0013,  756.7855,    0.0000,Otiorhynchus sulcatu,Egg
    0.0081,  119.1002,    0.0000,Otiorhynchus sulcatu,Larva
    0.0047,  202.7630,    0.0002,Otiorhynchus sulcatu,Pupa
    0.0029,  334.5379,    0.0000,A. urticae,Larva
    0.0055,  172.9206,    0.0000,A. urticae,Pupa
    0.0009,  782.2178,    0.0000,Inachis io,Larva
    0.0032,  297.0808,    0.0000,Inachis io,Pupa
    0.0030,  317.3045,    0.0000,Polygonia c-album,Larva
    0.0110,   35.2285,    0.5573,Polygonia c-album,Pupa
    0.3554,    1.8605,    0.4273,Languria mozardi,Egg
    0.0621,   16.6551,    0.0114,Languria mozardi,Larva
    0.0366,   31.2766,    0.0011,Languria mozardi,Pupa
    0.0316,    5.1271,    0.8473,Campylomma verbasci,Egg
    0.0759,    3.4526,    0.7570,Zonosemata electa,Pupa
    0.0200,   38.7584,    0.4483,Cotesia melanoscela,Pupa
    0.0052,  276.9349,    0.0000,Cotesia melanoscela,Pupa
    0.0548,    8.6959,    0.5343,Typhlocyba pomaria,Egg
    0.0051,  192.8416,    0.0000,Acantholyda erythrocephala ,Egg
    0.0193,   49.2383,    0.0000,Acantholyda erythrocephala ,Larva
    0.0463,    6.1756,    0.6919,Acantholyda erythrocephala ,Larva
    0.0038,  268.1246,    0.0000,Hylobius pales,Egg
    0.0295,   12.0725,    0.6530,Hylobius pales,Larva
    0.0944,    5.3569,    0.5392,Hylobius pales,Prepupa
    0.0097,  101.7103,    0.0179,Hylobius pales,Pupa
    0.0942,    2.8822,    0.7423,Rhagoletis mendax,Pupa
    0.0504,    2.4822,    0.8907,Bemisia tabaci,Egg
    0.0187,   54.6863,    0.0000,Bemisia tabaci,Pupa
    0.0472,    8.9035,    0.5919,Ips calligraphus,Egg
    0.0225,   45.8583,    0.0002,Ips calligraphus,Larva
    0.0609,   16.6742,    0.0037,Ips calligraphus,Pupa
    0.0534,   18.9269,    0.0021,Ips avulsus,Egg
    0.0628,   12.1992,    0.2431,Ips avulsus,Larva
    0.1562,    6.5804,    0.0002,Ips avulsus,Pupa
    0.0188,   27.1308,    0.4956,Toxoptera aurantii,Pupa
    0.0229,    7.2494,    0.8412,Calosoma sycophanta,Pupa
    0.1596,    2.0994,    0.7004,Diabrotica barberi,Egg PD
    0.0204,   12.2279,    0.7441,Myzus persicae ,Nymph
    0.0054,  186.7909,    0.0000,Myzus persicae ,Nymph
    0.0091,  107.3855,    0.0000,Tenebrio molitor,Larva
    0.0136,   70.0417,    0.0000,Cnaphalocrocis medinalis,Egg
    0.0141,   68.8469,    0.0141,Cnaphalocrocis medinalis,Larva
    0.0388,   25.5514,    0.0000,Cnaphalocrocis medinalis,Prepupa
    0.0107,   92.2763,    0.0000,Cnaphalocrocis medinalis,Pupa
    0.0235,   11.3906,    0.0000,Thrips palmi,Egg
    0.0336,   11.3236,    0.0000,Thrips palmi,Larva
    0.0185,  305.1004,    0.0057,Thrips palmi,Prepupa
    0.0247,   39.4859,    0.0000,Feltiella acarisuga,Egg
    0.0509,   19.5179,    0.0000,Feltiella acarisuga,Larva
    0.0389,   25.4538,    0.0000,Feltiella acarisuga,Pupa
    0.4882,    1.6526,    0.0000,Neoseiulus californicus,Egg
    0.0666,   10.2964,    0.0028,Neoseiulus californicus,Larva
    0.1372,    5.6525,    0.0000,Neoseiulus californicus,Protonymph
    0.2475,    1.9479,    0.2941,Neoseiulus californicus,Deutonymph
    0.0104,   91.4091,    0.0000,Laodelphax striatellus ,Egg PD
    0.0237,   41.1510,    0.0000,Thecodiplosis japonensis,Larva PD
    0.0251,   36.8411,    0.0000,Thecodiplosis japonensis,Pupa PD
    0.0324,   27.7320,    0.0000,"Aphis 
Gossypii",Protonymph
    0.0206,   39.7308,    0.0000,"Aphis 
Gossypii",Deutonymph
    1.1798,    0.8712,    0.0000,Amblyseius womersleyi,Egg
    0.2321,    4.4769,    0.0000,Amblyseius womersleyi,Larva
    0.8607,    1.3085,    0.0000,Amblyseius womersleyi,Protonymph
    0.8901,    1.2081,    0.0000,Amblyseius womersleyi,Deutonymph
