shape,scale,shift,species,info
   73.1068,    0.0132,    0.0000,Cotesia melanoscela,E-L 1
   81.5547,    0.0149,    0.0000,Cotesia melanoscela,E-L 1
   35.1865,    0.0326,    0.0000,Cotesia melanoscela,E-L 2
   58.7506,    0.0158,    0.0000,Cotesia melanoscela,E-L 3
    6.0527,    0.1668,    0.0000,Toxoptera aurantii,Pupa 4
   12.8217,    0.0791,    0.0000,Calosoma sycophanta,Larva 1
   45.4967,    0.0224,    0.0000,Calosoma sycophanta,Larva 2
  150.0940,    0.0067,    0.0000,Calosoma sycophanta,Larva 3
   24.5499,    0.0380,    0.0000,Tenebrio molitor,Larva 1
   70.8545,    0.0136,    0.0000,Tenebrio molitor,Larva 2
   55.4153,    0.0173,    0.0000,Tenebrio molitor,Larva 3
   31.8065,    0.0295,    0.0000,Tenebrio molitor,Larva 4
   26.7366,    0.0351,    0.0000,Tenebrio molitor,Larva 5
   32.9139,    0.0290,    0.0000,Tenebrio molitor,Larva 6
   53.0209,    0.0182,    0.0000,Tenebrio molitor,Larva 7
   37.6036,    0.0260,    0.0000,Tenebrio molitor,Larva 8
   50.5352,    0.0190,    0.0000,Tenebrio molitor,Larva 9
   73.2741,    0.0133,    0.0000,Tenebrio molitor,Larva 10
   53.9768,    0.0180,    0.0000,Tenebrio molitor,Larva 11
   46.8083,    0.0204,    0.0000,Tenebrio molitor,Larva 12
   48.2291,    0.0198,    0.0000,Tenebrio molitor,Larva 13
   24.4464,    0.0389,    0.0000,Cnaphalocrocis medinalis,Larva1
   21.6403,    0.0439,    0.0000,Cnaphalocrocis medinalis,Larva 2
   10.1589,    0.0898,    0.0000,Cnaphalocrocis medinalis,Larva 3
    8.6076,    0.1071,    0.0000,Cnaphalocrocis medinalis,Larva 4
   14.1111,    0.0681,    0.0000,Cnaphalocrocis medinalis,Larva 5
   30.2688,    0.0314,    0.0000,Cnaphalocrocis medinalis,Larva 6
   10.4997,    0.0833,    0.0000,Aulacorthum solani,Nymphae 1
   36.3332,    0.0245,    0.0000,Aulacorthum solani,Nymphae 2
   20.6556,    0.0407,    0.0000,Aulacorthum solani,Nymphae 3
   70.3372,    0.0130,    0.0000,Aulacorthum solani,Nymphae 4
    1.9142,    0.5850,    0.0000,Megachile rotundata,Larva 1
    2.3886,    0.4584,    0.0000,Megachile rotundata,Larva 2
    1.9206,    0.5825,    0.0000,Megachile rotundata,Larva 3
    6.3227,    0.1606,    0.0000,Megachile rotundata,Larva 4
   15.6778,    0.0570,    0.0000,Laodelphax striatellus ,Nymphae 1
   13.2779,    0.0653,    0.0000,Laodelphax striatellus ,Nymphae 2
   12.7213,    0.0684,    0.0000,Laodelphax striatellus ,Nymphae 3
    9.3978,    0.0925,    0.0000,Laodelphax striatellus ,Nymphae 4
    9.2475,    0.0937,    0.0000,Laodelphax striatellus ,Nymphae 5
