Otiorhynchus sulcatu,Egg,0.9654,35.1806,0
Otiorhynchus sulcatu,Larva,0.9969,13.8041,0
Otiorhynchus sulcatu,Pupa,0.9849,18.0923,0
A. urticae,Larva,0.56066,12.63091,0.42898
A. urticae,Pupa,0.21998,2.94989,0.75753
Inachis io,Larva,0.27823,13.58128,0.41489
Inachis io,Pupa,0.47038,10.09724,0.489
Polygonia c-album,Larva,0.56311,12.37774,0.42394
Polygonia c-album,Pupa,0.19083,2.82774,0.77654
Languria mozardi,Egg,0.7222,1.4334,0.4357
Languria mozardi,Larva,0.6499,2.4374,0.4708
Languria mozardi,Pupa,0.5922,2.8055,0.6205
Campylomma verbasci,Egg,0.15216,2.01759,0.87485
Zonosemata electa,Pupa,0.26845,1.80657,0.78135
Cotesia melanoscela,Pupa,0.3672,2.8590,0.899
Cotesia melanoscela,Pupa,0.5372,6.8643,0.948
Typhlocyba pomaria,Egg,0.386,2.274,0.670
Acantholyda erythrocephala ,Egg,0.238,3.375,0.761
Acantholyda erythrocephala ,Larva,0.41,2.946,0.588
Acantholyda erythrocephala ,Larva,0.256,2.111,0.752
Hylobius pales,Egg,0.14,2.09,0.89
Hylobius pales,Larva,0.26,2.42,0.78
Hylobius pales,Prepupa,0.47,2.04,0.63
Hylobius pales,Pupa,0.32,3.23,0.72
Rhagoletis mendax,Pupa,0.2864,1.7037,0.7594
Bemisia tabaci,Egg,0.1344,1.6151,0.8959
Bemisia tabaci,Pupa,0.2674,1.7318,0.7875
Ips calligraphus,Egg,0.3382,2.2849,0.7138
Ips calligraphus,Larva,0.2861,1.6819,0.7754
Ips calligraphus,Pupa,0.6022,2.2651,0.4874
Ips avulsus,Egg,0.6045,2.4737,0.4788
Ips avulsus,Larva,0.5568,2.4245,0.5177
Ips avulsus,Pupa,0.9783,2.3917,0.1636
Toxoptera aurantii,Pupa,0.277,2.738,0.7594
Calosoma sycophanta,Pupa,0.14205,2.1888,0.8819
Diabrotica barberi,Egg PD,0.3646,1.5112,0.7081
Myzus persicae ,Nymph,0.1813,2.4255,0.8337
Myzus persicae ,Nymph,0.2614,3.5961,0.7644
Tenebrio molitor,Larva,1.0179,13.0948,0
Cnaphalocrocis medinalis,Egg,1.0031,10.5263,0
Cnaphalocrocis medinalis,Larva,1.0364,10.6033,0
Cnaphalocrocis medinalis,Prepupa,1.0676,6.2545,0
Cnaphalocrocis medinalis,Pupa,1.0263,12.12,0
Thrips palmi,Egg,0.2951,4.0865,0
Thrips palmi,Larva,0.4205,4.0738,0
Thrips palmi,Prepupa,5.7961,22.2699,0
Thrips palmi,Pupa,-0.5094,-5.3036,0
Feltiella acarisuga,Egg,1.038,7.839,0
Feltiella acarisuga,Larva,1.078,5.433,0
Feltiella acarisuga,Pupa,1.0664,6.242,0
Neoseiulus californicus,Egg,1.319,3.259,-0.374
Neoseiulus californicus,Larva,0.568,2.598,0.186
Neoseiulus californicus,Protonymph,1.106,4.234,-0.228
Neoseiulus californicus,Deutonymph,0.5260,1.463,0.302
Laodelphax striatellus ,Egg PD,0.9927,12.0617,0
Thecodiplosis japonensis,Larva PD,1.035,8.008,0
Thecodiplosis japonensis,Pupa PD,0.987,7.563,0
"Aphis 
Gossypii",Protonymph,0.6022,3.625,0.356
"Aphis 
Gossypii",Deutonymph,0.525,4.254,0.342
Amblyseius womersleyi,Egg,1.738,2.610,-0.517
Amblyseius womersleyi,Larva,1.122,2.282,0.0486
Amblyseius womersleyi,Protonymph,1.343,1.551,-0.0762
Amblyseius womersleyi,Deutonymph,1.418,1.905,-0.179
