Key,Item Type,Publication Year,Author,Title,Publication Title,ISBN,ISSN,DOI,Url,Abstract Note,Date,Date Added,Date Modified,Access Date,Pages,Num Pages,Issue,Volume,Number Of Volumes,Journal Abbreviation,Short Title,Series,Series Number,Series Text,Series Title,Publisher,Place,Language,Rights,Type,Archive,Archive Location,Library Catalog,Call Number,Extra,Notes,File Attachments,Link Attachments,Manual Tags,Automatic Tags,Editor,Series Editor,Translator,Contributor,Attorney Agent,Book Author,Cast Member,Commenter,Composer,Cosponsor,Counsel,Interviewer,Producer,Recipient,Reviewed Author,Scriptwriter,Words By,Guest,Number,Edition,Running Time,Scale,Medium,Artwork Size,Filing Date,Application Number,Assignee,Issuing Authority,Country,Meeting Name,Conference Name,Court,References,Reporter,Legal Status,Priority Numbers,Programming Language,Version,System,Code,Code Number,Section,Session,Committee,History,Legislative Body
DUFEKPY3,journalArticle,1991,"Ellsbury, M. M.",Development of the Immature Stages of the Clover Stem Borer (Coleoptera: Languriidae) at Constant Temperatures,Environmental Entomology,,"1938-2936, 0046-225X",10.1093/ee/20.4.1181,https://academic.oup.com/ee/article-lookup/doi/10.1093/ee/20.4.1181,,1991-08-01,2025-06-05 09:17:01,2025-06-05 09:17:01,2025-06-05 09:17:01,1181-1186,,4,20,,,Development of the Immature Stages of the Clover Stem Borer (Coleoptera,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WP7TN7HN,journalArticle,2005,"Son, Youngsoo; Lewis, Edwin E.",Modelling temperature‐dependent development and survival of <i>Otiorhynchus sulcatus</i> (Coleoptera: Curculionidae),Agricultural and Forest Entomology,,"1461-9555, 1461-9563",10.1111/j.1461-9555.2005.00260.x,https://resjournals.onlinelibrary.wiley.com/doi/10.1111/j.1461-9555.2005.00260.x,"Abstract                1 We conducted a laboratory experiment to quantify the stage‐specific effects of temperature on development time and survival of               Otiorhynchus sulcatus               (Fabricius) (Coleoptera: Curculionidae), a serious economic pest of horticultural crops. Quantification of the relationship between stage development and temperature is required to predict seasonal occurrence of particular life stages and to optimize the timing of monitoring and control tactics.                          2 Temperature‐dependent survival rate was quantified using an extreme value function and showed a skewed bell shape, due to the vulnerability of the insect to high temperature in all stages.                            3 The development times of               O. sulcatus               decreased with increasing temperature up to 27 °C for eggs and 24 °C for larvae and pupae. The nonlinear relationship between development rate and temperature was described using the Logan model, and enabled us to estimate the optimum temperature for development.                          4 The inherent variation of development time was estimated from the cumulative frequency of stage emergence, which was modelled using the cumulative Weibull function.             5 The stage emergence model, which simulated the transition from one stage to the next in relation to temperature and cohort age, was constructed by incorporating stage‐specific survival and development rate submodels with the Weibull model of stage frequency.                            6 Our results show a difference in optimal temperature regime among developmental stages of               O. sulcatus               .",2005-08,2025-06-05 09:17:07,2025-06-05 09:17:07,2025-06-05 09:17:07,201-209,,3,7,,Agri and Forest Entomology,Modelling temperature‐dependent development and survival of <i>Otiorhynchus sulcatus</i> (Coleoptera,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JGJ3TY6I,journalArticle,2002,"Bryant, Simon R.; Thomas, Chris D.; Bale, Jeffrey S.",The influence of thermal ecology on the distribution of three nymphalid butterflies,Journal of Applied Ecology,,"0021-8901, 1365-2664",10.1046/j.1365-2664.2002.00688.x,https://besjournals.onlinelibrary.wiley.com/doi/10.1046/j.1365-2664.2002.00688.x,"Summary                                                                Studies have shown that many adult and immature insects are able to maintain body temperature well above, and often independently of, ambient temperature in the presence of direct solar radiation. They may do so directly by basking, or indirectly via microhabitat choice. The implications for this are often ignored in development models that serve to predict species’ responses to climate change.                                                                          To investigate the difference in development times attributable to solar input, field development of                     Aglais urticae                     ,                     Inachis io                     and                     Polygonia c‐album                     larvae (Lepidoptera: Nymphalidae) was followed both in a natural open situation and in an artificially shaded environment. Each species completed development more quickly in the open, equivalent to a 20%, 10% and 15% reduction in development time, respectively.                                                                                             Observed development times in the artificially shaded environment were used to compare the techniques of rate summation and degree‐day modelling. Rate summation models were found to describe development in the shade best for                     A. urticae                     and                     I. io                     , although a degree‐day model performed best for                     P. c‐album                     , possible reasons for which are discussed. The best‐performing models for each species were modified to include larval thermoregulation data, assuming a linear relationship between body and ambient temperatures during the measured sunshine hours each day, and tested against observed development times in the open situation. Times for 50% adult emergence were predicted exactly for                     A. urticae                     , and to an accuracy of 1 day for                     I. io                     and 5 days for                     P. c‐album                     .                                                                                             The models were tested further using climate data from 128 UK Meteorological Office weather stations across England, Wales and Scotland. Thermoregulation model predictions matched observed UK distribution and voltinism better than predictions made by the standard unmodified models. It was estimated that larval thermoregulation allows                     A. urticae                     and                     I. io                     populations to persist approximately 200 km further north than would otherwise be possible, and that the extent of bivoltinism may be shifted northwards by around 300 km.                                                                        These results have significant implications for predicting the effects of global warming on insects’ geographical ranges, the potential distributions of invasive species, and the phenology and voltinism of introduced biocontrol agents as one component of their likely success.",2002-02,2025-06-05 09:17:15,2025-06-05 09:17:15,2025-06-05 09:17:15,43-55,,1,39,,Journal of Applied Ecology,,,,,,,,en,http://onlinelibrary.wiley.com/termsAndConditions#vor,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QCAGLT85,journalArticle,1994,"Judd, Gary J.R.; Cossentine, Joan E.; Gardiner, Mark G.T.; Thomson, Donald R.","TEMPERATURE-DEPENDENT DEVELOPMENT OF THE SPECKLED GREEN FRUITWORM, <i>ORTHOSIA HIBISCI</i> GUENÉE (LEPIDOPTERA: NOCTUIDAE)",The Canadian Entomologist,,"0008-347X, 1918-3240",10.4039/Ent1261263-5,https://www.cambridge.org/core/product/identifier/S0008347X00007872/type/journal_article,"Abstract                            Temperature-dependent development of eggs, larvae, and pupae of the speckled green fruitworm,               Orthosia hibisci               Guenée, at constant temperatures of 5–30.0 °C, 7.5–27.5 °C, and 0.8–20.8 °C, respectively, was described. Development times decreased with increasing temperatures and minimum developmental times in eggs, larvae, and pupae occurred at ca. 27.5, 25, and 20.8 °C, respectively. Variation in development times of all life stages was modelled accurately (               R               2               values 0.98–0.99) with a Weibull distribution. Relationships between temperature and developmental rates of all life stages were described by linear degree-day (DD) and nonlinear poikilotherm models. There were significant differences (ANOVA,               P               < 0.05) among the slopes of regression equations describing developmental rates of different life stages and larval instars. Minimum developmental temperatures for eggs (3.4 °C), first- through fifth-instar larvae (4.7, 2.9, 3.6, 3.5, and 3.7 °C), and pupae (2.8 °C) were determined by extrapolation of linear regression equations to the               x               -intercept. Median development time of eggs, first- through fifth-instar larvae, and pupae required 99.0, 44.2, 51.5, 52.4, 57.1, 69.9, and 61.3 DD above the minimum developmental temperatures, respectively. Developmental rates of eggs and all larval instars averaged were described by six-parameter models exhibiting low- and high-temperature inhibition. Development of pupae was best described by a four-parameter model exhibiting low- but no high-temperature inhibition. This information should be useful for developing a phenology model to improve management actions against               O               .               hibisci               .                        ,              Résumé                            On trouvera ici la description du développement en fonction de la température chez l’Orthésie verte,               Orthosia hibisci               Guenée, à de températures constantes situées entre 5 et 30 °C dans le cas des oeufs, entre 7,5 et 27,5 °C dans le cas des larves, et entre 0,8 et 20,8 °C dans le cas des chrysalides. La durée du développement diminue à mesure qu’augmente la température et la durée du développement des oeufs est minimale à 27,5 °C, celle des larves à 25,0 °C, et celle des chrysalide à 20,8 °C. Le modèle de Weibull permet de représenter avec exactitude les variations dans la durée du développement à tous les stades (               R               2               entre 0,98 et 0,99). Les relations entre la température et les taux de développement à tous les stades s’expriment par un modèle linéaire degrés-jours (DD) et par un modèle non linéaire qui s’applique aux poïkilothermes. Il existe des différences significatives (analyse de la variance,               P               < 0,05) entre les pentes des droites de régression qui décrivent les taux de développement des différentes étapes de la vie et des différents stades larvaires. Les températures minimales de développement des oeufs (3,4 °C), des larves du premier au cinquième stades (4,7, 2,9, 3,6, 3,5 et 3,7 °C) et des chrysalides (2,8 °C) ont été déterminées par extrapolation des droites de régression jusqu’à leur intersection avec l’axe des               x               . La durée médiane de développement des oeufs nécessite 99,0 degrés-jours au-dessus du seuil inférieur de température de développement, celle du développement des stades larvaires 1 à 5 nécessite 44,2, 51,5, 52,4, 57,1 et 69,9 degrés-jours au-dessus du seuil, et celle du développement des chrysalides nécessite 61,3 degrés-jours au-dessus du seuil. Les taux de développement des oeufs et de tous les stades larvaires pondérés sont décrits au moyen de modèles à six variables qui peuvent être inhibées par des températures trop basses ou trop hautes. Le développement des chrysalides répond à un modèle à quatre variables qui peuvent être inhibées par des températures trop basses, mais pas par des températures trop hautes. Ces résultats peuvent s’avérer utiles dans l’élaboration d’un modèle phénologique de contrôle d’               O. hibisci               .                          [Traduit par la Rédaction]",1994-10,2025-06-05 09:22:49,2025-06-05 09:22:49,2025-06-05 09:22:49,1263-1275,,5,126,,Can Entomol,"TEMPERATURE-DEPENDENT DEVELOPMENT OF THE SPECKLED GREEN FRUITWORM, <i>ORTHOSIA HIBISCI</i> GUENÉE (LEPIDOPTERA",,,,,,,en,https://www.cambridge.org/core/terms,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Y242ELHT,journalArticle,1994,"Judd, G.J.R.; Mcbrien, H. L.",Modeling Temperature-Dependent Development and Hatch of Overwintered Eggs ofCampylomma verbasci(Heteroptera: Miridae),Environmental Entomology,,"1938-2936, 0046-225X",10.1093/ee/23.5.1224,https://academic.oup.com/ee/article-lookup/doi/10.1093/ee/23.5.1224,,1994-10-01,2025-06-05 09:36:22,2025-06-05 09:36:22,2025-06-05 09:36:22,1224-1234,,5,23,,,Modeling Temperature-Dependent Development and Hatch of Overwintered Eggs ofCampylomma verbasci(Heteroptera,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EVPH7PNE,journalArticle,1991,"Judd, G.J.R.; Whitfield, G. H.; Maw, H.E.L.",Temperature-Dependent Development and Phenology of Pepper Maggots (Diptera: Tephritidae) Associated with Pepper and Horsenettle,Environmental Entomology,,"1938-2936, 0046-225X",10.1093/ee/20.1.22,https://academic.oup.com/ee/article-lookup/doi/10.1093/ee/20.1.22,,1991-02-01,2025-06-05 09:41:41,2025-06-05 09:41:41,2025-06-05 09:41:41,22-29,,1,20,,,Temperature-Dependent Development and Phenology of Pepper Maggots (Diptera,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CN7YZTD9,journalArticle,1990,"Gould, Juli R.; Elkinton, Joseph S.","Temperature-Dependent Growth ofCotesia melanoscela(Hymenoptera: Braconidae), a Parasitoid of the Gypsy Moth (Lepidoptera: Lymantriidae)",Environmental Entomology,,"1938-2936, 0046-225X",10.1093/ee/19.4.859,https://academic.oup.com/ee/article-lookup/doi/10.1093/ee/19.4.859,,1990-08-01,2025-06-05 09:44:01,2025-06-05 09:44:01,2025-06-05 09:44:01,859-865,,4,19,,,Temperature-Dependent Growth ofCotesia melanoscela(Hymenoptera,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DUR3YHHF,journalArticle,2001,"Kim, Dong-Soon; Lee, Joon-Ho; Yiem, Myong-Soon",Temperature-Dependent Development of <i>Carposina sasakii</i> (Lepidoptera: Carposinidae) and Its Stage Emergence Models,Environmental Entomology,,"0046-225X, 1938-2936",10.1603/0046-225X-30.2.298,https://academic.oup.com/ee/article-lookup/doi/10.1603/0046-225X-30.2.298,,2001-04-01,2025-06-05 09:50:55,2025-06-05 09:50:55,2025-06-05 09:50:55,298-305,,2,30,,Environ Entomol,Temperature-Dependent Development of <i>Carposina sasakii</i> (Lepidoptera,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
QJJ4HYBY,journalArticle,1991,"Knight, A. L.; Beers, E. H.; Elsner, E. A.",Modeling Postdiapause Egg and Nymphal Development of the White Apple Leafhopper (Homoptera: Cicadellidae),Environmental Entomology,,"1938-2936, 0046-225X",10.1093/ee/20.6.1659,https://academic.oup.com/ee/article-lookup/doi/10.1093/ee/20.6.1659,,1991-12-01,2025-06-05 10:03:08,2025-06-05 10:03:08,2025-06-05 10:03:08,1659-1664,,6,20,,,Modeling Postdiapause Egg and Nymphal Development of the White Apple Leafhopper (Homoptera,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCFHY2XQ,journalArticle,2004,"Lerin, J.",Modeling Embryonic Development in <I>Sitona lineatus</I> (Coleoptera: Curculionidae) in Fluctuating Temperatures,Environmental Entomology,,"0046225X, 0046225X",10.1603/0046-225X-33.2.107,https://academic.oup.com/ee/article-lookup/doi/10.1603/0046-225X-33.2.107,,2004-04-01,2025-06-06 14:24:28,2025-06-06 14:24:28,2025-06-06 14:24:28,107-112,,2,33,,en,Modeling Embryonic Development in <I>Sitona lineatus</I> (Coleoptera,,,,,,,en,,,,,DOI.org (Crossref),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
