"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GU5KC2T5","journalArticle","1991","Bentz, Barbara J.; Logan, Jesse A.; Amman, Gene D.","TEMPERATURE-DEPENDENT DEVELOPMENT OF THE MOUNTAIN PINE BEETLE (COLEOPTERA: SCOLYTIDAE) AND SIMULATION OF ITS PHENOLOGY","The Canadian Entomologist","","0008-347X, 1918-3240","10.4039/Ent1231083-5","https://www.cambridge.org/core/product/identifier/S0008347X00024457/type/journal_article","Abstract                            Temperature-dependent development of the egg, larval, and pupal life-stages of the mountain pine beetle (               Dendroctonus ponderosae               Hopkins) was described using data from constant-temperature laboratory experiments. A phenology model describing the effect of temperature on the temporal distribution of the life-stages was developed using these data. Phloem temperatures recorded in a beetle-infested lodgepole pine (               Pinus contorta               Douglas) were used as input to run the model. Results from model simulations suggest that inherent temperature thresholds in each life-stage help to synchronize population dynamics with seasonal climatic changes. This basic phenological information and the developed model will facilitate both research and management endeavors aimed at reducing losses in lodgepole pine stands caused by mountain pine beetle infestations.                        ,              Résumé                            On trouvera ici la description du développement de l’oeuf, de la larve et de la nymphe sous l’influence de la température chez le Dendroctone du Pin ponderosa (               Dendroctonus ponderosae               Hopkins), description élaborée à la suite d’observations en laboratoire dans des conditions constantes de température. Les données ont également servi à construire un modèle de la phénologie de l’insecte qui tient compte de l’effet de la température sur la répartition temporelle des divers stades. Les températures du phloème enregistrées dans un Pin ponderosa infesté de coléoptères ont été intégrées au modèle. Les résultats des simulations indiquent que les seuils thermiques inhérents à chacun des stades contribuent à synchroniser la dynamique de la population avec les changements climatiques saisonniers. Cette information phénologique de base et le modèle que nous avons mis au point faciliteront les tentatives de recherche et d’aménagement entreprises dans le but de limiter, dans les forêts de Pins ponderosa, les pertes occasionnées par les infestations de dendroctones.                          [Traduit par la rédaction]","1991-10","2025-06-06 15:47:23","2025-06-06 15:47:23","2025-06-06 15:47:23","1083-1094","","5","123","","Can Entomol","TEMPERATURE-DEPENDENT DEVELOPMENT OF THE MOUNTAIN PINE BEETLE (COLEOPTERA","","","","","","","en","https://www.cambridge.org/core/terms","","","","DOI.org (Crossref)","","","","/home/mathisdr/Zotero/storage/4966G6AT/Bentz et al. - 1991 - TEMPERATURE-DEPENDENT DEVELOPMENT OF THE MOUNTAIN PINE BEETLE (COLEOPTERA SCOLYTIDAE) AND SIMULATIO.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R3QJ88GL","journalArticle","2002","Liu, Shu-Sheng; Chen, Fei-Zhou; Zalucki, Myron P.","Development and Survival of the Diamondback Moth (Lepidoptera: Plutellidae) at Constant and Alternating Temperatures","Environmental Entomology","","0046-225X, 1938-2936","10.1603/0046-225X-31.2.221","https://academic.oup.com/ee/article-lookup/doi/10.1603/0046-225X-31.2.221","","2002-04-01","2025-06-06 15:56:22","2025-06-06 15:56:22","2025-06-06 15:56:22","221-231","","2","31","","Environ Entomol","Development and Survival of the Diamondback Moth (Lepidoptera","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HVHX7VUE","journalArticle","","Liu","","","","","https://doi.org/10.1017/S0007485399000073","","","","2025-06-06 16:21:56","2025-06-06 16:22:03","","","","","","","","","","","","","","","","","","","","","","","","/home/mathisdr/Zotero/storage/XCIWESTU/Liu - .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7RJUH9RW","journalArticle","2013","Gu, Hui-Yeon; Kim, Seon-Gon; O, Hyeong-Geun; Kim, Jeong-Eun; Choi, Deok-Soo; Kim, Do-Ik; Kim, Iksoo","Temperature-dependent Development Model of Larvae of Mealworm beetle, Tenebrio molitor L. (Coleoptera: Tenebrionidae)","Korean journal of applied entomology","","","10.5656/KSAE.2013.11.0.066","https://doi.org/10.5656/KSAE.2013.11.0.066","","2013-12-01","2025-06-10 11:37:51","2025-06-10 11:37:51","2025-06-10 11:37:51","387-394","","4","52","","","Temperature-dependent Development Model of Larvae of Mealworm beetle, Tenebrio molitor L. (Coleoptera","","","","","","","","","","","","DOI.org (CSL JSON)","","","","/home/mathisdr/Zotero/storage/Y35E6B87/Gu, Hui-Yeon et al. - 2013 - Temperature-dependent Development Model of Larvae of Mealworm beetle, Tenebrio molitor L. (Coleopter.pdf; /home/mathisdr/Zotero/storage/UM2X3F3G/Gu, Hui-Yeon et al. - 2013 - Temperature-dependent Development Model of Larvae of Mealworm beetle, Tenebrio molitor L. (Coleopter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Q76IW6PI","journalArticle","2014","Park, Hong-Hyun; Ahn, Jeong Joon; Park, Chang-Gyu","Temperature-dependent development of Cnaphalocrocis medinalis Guenée (Lepidoptera: Pyralidae) and their validation in semi-field condition","Journal of Asia-Pacific Entomology","","12268615","10.1016/j.aspen.2013.11.003","https://linkinghub.elsevier.com/retrieve/pii/S1226861513001106","","2014-03","2025-06-10 11:45:11","2025-06-10 11:45:11","2025-06-10 11:45:11","83-91","","1","17","","Journal of Asia-Pacific Entomology","Temperature-dependent development of Cnaphalocrocis medinalis Guenée (Lepidoptera","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LKLRJYT2","journalArticle","2020","Seo, Bo Yoon; Kim, Eun Young; Ahn, Jeong Joon; Kim, Yonggyun; Kang, Sungtaeg; Jung, Jin Kyo","Development, Reproduction, and Life Table Parameters of the Foxglove Aphid, Aulacorthum solani Kaltenbach (Hemiptera: Aphididae), on Soybean at Constant Temperatures","Insects","","2075-4450","10.3390/insects11050296","https://www.mdpi.com/2075-4450/11/5/296","We investigated several characteristics of the development and reproduction of the aphid Aulacorthum solani raised on soybean (Glycine max) at 10 constant temperatures between 2.5 and 30 °C, and described the relationship between temperature and several critical biological characteristics using mathematical models. We found that A. solani could survive and reproduce on soybean at temperatures ranging from 5 to 27.5 °C. High fecundity was observed at temperatures from 12.5 to 20 °C. The lower developmental threshold and thermal constant for this species’ nymphal stages were estimated to be 5.02 °C and 131.2 degree-days, respectively, using a linear model. The upper developmental threshold was estimated to be 33.9 °C using the Lactin-2 model. The optimum temperature for nymphal development was estimated to be 26.9 °C. The maximum total fecundity was estimated as ca. 76.9 nymphs per adult at 18.1 °C. The daily fecundity sharply increased at earlier adult ages, and slowly decreased thereafter until final parthenogenesis occurred, over a range of temperatures from 12.5 to 25 °C. The maximum daily fecundity was estimated to be ca. 6.1 nymphs per adult per day for a 5.2 day old of adult at 21.3 °C using an age- and temperature-dependent model of adult fecundity. In terms of life table statistics, the intrinsic rates of increase and the finite rate of increase were both highest at 25 °C, while the net reproductive rate was highest at 20 °C.","2020-05-11","2025-06-10 11:54:22","2025-06-10 11:54:22","2025-06-10 11:54:22","296","","5","11","","Insects","Development, Reproduction, and Life Table Parameters of the Foxglove Aphid, Aulacorthum solani Kaltenbach (Hemiptera","","","","","","","en","https://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","/home/mathisdr/Zotero/storage/3N98NA68/Seo et al. - 2020 - Development, Reproduction, and Life Table Parameters of the Foxglove Aphid, Aulacorthum solani Kalte.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XNLASJAI","journalArticle","2010","Park, Chang-Gyu; Kim, Hwang-Yong; Lee, Joon-Ho","Parameter estimation for a temperature-dependent development model of Thrips palmi Karny (Thysanoptera: Thripidae)","Journal of Asia-Pacific Entomology","","12268615","10.1016/j.aspen.2010.01.005","https://linkinghub.elsevier.com/retrieve/pii/S1226861510000117","","2010-06","2025-06-10 11:57:02","2025-06-10 11:57:02","2025-06-10 11:57:02","145-149","","2","13","","Journal of Asia-Pacific Entomology","Parameter estimation for a temperature-dependent development model of Thrips palmi Karny (Thysanoptera","","","","","","","en","https://www.elsevier.com/tdm/userlicense/1.0/","","","","DOI.org (Crossref)","","","","/home/mathisdr/Zotero/storage/4LUR7Z4Z/Park et al. - 2010 - Parameter estimation for a temperature-dependent development model of Thrips palmi Karny (Thysanopte.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SQQGRE6N","journalArticle","2000","Lee, Joon-Ho; Ahn, Jeong Joon","Temperature Effects on Development, Fecundity, and Life Table Parameters of <i>Amblyseius womersleyi</i> (Acari: Phytoseiidae)","Environmental Entomology","","0046-225X, 1938-2936","10.1093/ee/29.2.265","https://academic.oup.com/ee/article-lookup/doi/10.1093/ee/29.2.265","","2000-04-01","2025-06-10 12:04:40","2025-06-10 12:04:40","2025-06-10 12:04:40","265-271","","2","29","","Environ Entomol","Temperature Effects on Development, Fecundity, and Life Table Parameters of <i>Amblyseius womersleyi</i> (Acari","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/mathisdr/Desktop/2024-2025/Stage/Biblio/lee_2000.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SKDQF3F6","journalArticle","2020","Pollard, Ciarán P.; Griffin, Christine T.; Andrade Moral, Rafael De; Duffy, Catriona; Chuche, Julien; Gaffney, Michael T.; Fealy, Reamonn M.; Fealy, Rowan","phenModel: A temperature-dependent phenology/voltinism model for a herbivorous insect incorporating facultative diapause and budburst","Ecological Modelling","","03043800","10.1016/j.ecolmodel.2019.108910","https://linkinghub.elsevier.com/retrieve/pii/S0304380019304181","","2020-01","2025-06-10 12:41:49","2025-06-10 12:41:49","2025-06-10 12:41:49","108910","","","416","","Ecological Modelling","phenModel","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/mathisdr/Zotero/storage/RDSR47GR/Pollard et al. - 2020 - phenModel A temperature-dependent phenologyvoltinism model for a herbivorous insect incorporating.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6MTKPVFD","journalArticle","2020","Park, Young-gyun; Lee, Joon-Ho","Temperature-dependent development and oviposition models and life history characteristics of Amblyseius eharai (Amitai et Swirski) (Acari: Phytoseiidae) preying on Tetranychus urticae (Koch) (Acari: Tetranychidae)","Journal of Asia-Pacific Entomology","","12268615","10.1016/j.aspen.2020.07.021","https://linkinghub.elsevier.com/retrieve/pii/S1226861520303988","","2020-12","2025-06-10 12:50:55","2025-06-10 12:50:55","2025-06-10 12:50:55","869-878","","4","23","","Journal of Asia-Pacific Entomology","Temperature-dependent development and oviposition models and life history characteristics of Amblyseius eharai (Amitai et Swirski) (Acari","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
